key,text:it,ipa:it,audio:it,audio source:it,tags:it
alive,,,,,AnkiLangs::IT
April,,,,,AnkiLangs::IT
art,,,,,AnkiLangs::IT
August,,,,,AnkiLangs::IT
bad,,,,,AnkiLangs::IT
beautiful,,,,,AnkiLangs::IT
beer,,,,,AnkiLangs::IT
big / large,,,,,AnkiLangs::IT
black,nero,/ˈnero/,[sound:al_it_it_nero.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-D,AnkiLangs::IT
blind,,,,,AnkiLangs::IT
blood,,,,,AnkiLangs::IT
blue,blu,/blu/,[sound:al_it_it_blu.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-D,AnkiLangs::IT
breakfast,,,,,AnkiLangs::IT
brown,marrone,/marˈrone/,[sound:al_it_it_marrone.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-D,AnkiLangs::IT
cheap,,,,,AnkiLangs::IT
clay,,,,,AnkiLangs::IT
clean,,,,,AnkiLangs::IT
coffee,,,,,AnkiLangs::IT
cold,,,,,AnkiLangs::IT
cool,,,,,AnkiLangs::IT
copper,,,,,AnkiLangs::IT
curved,,,,,AnkiLangs::IT
dark,,,,,AnkiLangs::IT
dark blue,azzurro scuro,/adˈdzurro ˈskuːro/,[sound:al_it_it_azzurro_scuro.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-F,AnkiLangs::IT
dead,,,,,AnkiLangs::IT
deaf,,,,,AnkiLangs::IT
death,,,,,AnkiLangs::IT
December,,,,,AnkiLangs::IT
deep,,,,,AnkiLangs::IT
diamond,,,,,AnkiLangs::IT
dinner,,,,,AnkiLangs::IT
dirty,,,,,AnkiLangs::IT
disease,,,,,AnkiLangs::IT
down,,,,,AnkiLangs::IT
dry,,,,,AnkiLangs::IT
dust,,,,,AnkiLangs::IT
Earth,la Terra,/la ˈtɛrra/,[sound:al_it_it_la_terra.mp3],Google Cloud TTS,AnkiLangs::IT
eight (8),,,,,AnkiLangs::IT
eighteen (18),,,,,AnkiLangs::IT
eighty (80),,,,,AnkiLangs::IT
eighty-one (81),,,,,AnkiLangs::IT
eighty-two (82),,,,,AnkiLangs::IT
eleven (11),,,,,AnkiLangs::IT
