key,text:kn,ipa:kn,audio:kn,audio source:kn,tags:kn
alive,ಜೀವಂತ,/d͡ʒiːvənt̪ə/,,,AnkiLangs::KN
April,ಏಪ್ರಿಲ್,/eːpril/,,,AnkiLangs::KN
art,ಕಲೆ,/kɐle/,,,AnkiLangs::KN
August,ಆಗಸ್ಟ್,/ɑːɡəsʈ/,,,AnkiLangs::KN
bad,ಕೆಟ್ಟ,/keʈʈɐ/,,,AnkiLangs::KN
beautiful,,,,,AnkiLangs::KN
beer,,,,,AnkiLangs::KN
big / large,,,,,AnkiLangs::KN
black,,,,,AnkiLangs::KN
blind,,,,,AnkiLangs::KN
blood,,,,,AnkiLangs::KN
blue,,,,,AnkiLangs::KN
breakfast,,,,,AnkiLangs::KN
brown,,,,,AnkiLangs::KN
cheap,,,,,AnkiLangs::KN
clay,,,,,AnkiLangs::KN
clean,,,,,AnkiLangs::KN
coffee,,,,,AnkiLangs::KN
cold,,,,,AnkiLangs::KN
cool,,,,,AnkiLangs::KN
copper,,,,,AnkiLangs::KN
curved,,,,,AnkiLangs::KN
dark,,,,,AnkiLangs::KN
dark blue,,,,,AnkiLangs::KN
dead,,,,,AnkiLangs::KN
deaf,,,,,AnkiLangs::KN
death,,,,,AnkiLangs::KN
December,,,,,AnkiLangs::KN
deep,,,,,AnkiLangs::KN
diamond,,,,,AnkiLangs::KN
dinner,,,,,AnkiLangs::KN
dirty,,,,,AnkiLangs::KN
disease,,,,,AnkiLangs::KN
down,,,,,AnkiLangs::KN
dry,,,,,AnkiLangs::KN
dust,,,,,AnkiLangs::KN
Earth,,,,,AnkiLangs::KN
eight (8),,,,,AnkiLangs::KN
eighteen (18),,,,,AnkiLangs::KN
eighty (80),,,,,AnkiLangs::KN
eighty-one (81),,,,,AnkiLangs::KN
eighty-two (82),,,,,AnkiLangs::KN
eleven (11),,,,,AnkiLangs::KN
energy,,,,,AnkiLangs::KN
exercise,,,,,AnkiLangs::KN
expensive,,,,,AnkiLangs::KN
famous,,,,,AnkiLangs::KN
fast,,,,,AnkiLangs::KN
February,,,,,AnkiLangs::KN
female,,,,,AnkiLangs::KN
fifteen (15),,,,,AnkiLangs::KN
fifth (5th),,,,,AnkiLangs::KN
fifty (50),,,,,AnkiLangs::KN
fifty-one (51),,,,,AnkiLangs::KN
fifty-two (52),,,,,AnkiLangs::KN
first (1st),,,,,AnkiLangs::KN
five (5),,,,,AnkiLangs::KN
flat,,,,,AnkiLangs::KN
food,,,,,AnkiLangs::KN
forty (40),,,,,AnkiLangs::KN
forty-one (41),,,,,AnkiLangs::KN
forty-two (42),,,,,AnkiLangs::KN
four (4),,,,,AnkiLangs::KN
fourteen (14),,,,,AnkiLangs::KN
fourth (4th),,,,,AnkiLangs::KN
Friday,,,,,AnkiLangs::KN
glass,,,,,AnkiLangs::KN
God,,,,,AnkiLangs::KN
gold,,,,,AnkiLangs::KN
good,,,,,AnkiLangs::KN
gray,,,,,AnkiLangs::KN
