key,text:la,ipa:la,audio:la,audio source:la,tags:la
the car,currus,/ˈkurrus/,,,AnkiLangs::LA
Earth,Terra,/ˈterra/,,,AnkiLangs::LA
the dog,canis,/ˈkanis/,,,AnkiLangs::LA
the cat,feles,/ˈfeles/,,,AnkiLangs::LA
the fish,piscis,/ˈpiskis/,,,AnkiLangs::LA
the bird,avis,/ˈavis/,,,AnkiLangs::LA
the cow,vacca,/ˈwakka/,,,AnkiLangs::LA
the pig,sus,/sus/,,,AnkiLangs::LA
the mouse,mus,/mus/,,,AnkiLangs::LA
the horse,equus,/ˈekwus/,,,AnkiLangs::LA
the wing,,,,,AnkiLangs::LA
the animal,,,,,AnkiLangs::LA
the train,,,,,AnkiLangs::LA
the plane,,,,,AnkiLangs::LA
the truck,,,,,AnkiLangs::LA
the bicycle,,,,,AnkiLangs::LA
the bus,,,,,AnkiLangs::LA
the boat,,,,,AnkiLangs::LA
the ship,,,,,AnkiLangs::LA
the tire,,,,,AnkiLangs::LA
the gasoline,,,,,AnkiLangs::LA
the engine,,,,,AnkiLangs::LA
the (train) ticket,,,,,AnkiLangs::LA
transportation,,,,,AnkiLangs::LA
the city,,,,,AnkiLangs::LA
the house,,,,,AnkiLangs::LA
the apartment,,,,,AnkiLangs::LA
the street/road,,,,,AnkiLangs::LA
the airport,,,,,AnkiLangs::LA
the train station,,,,,AnkiLangs::LA
the bridge,,,,,AnkiLangs::LA
the hotel,,,,,AnkiLangs::LA
the restaurant,,,,,AnkiLangs::LA
the farm,,,,,AnkiLangs::LA
the court,,,,,AnkiLangs::LA
the school,,,,,AnkiLangs::LA
the office,,,,,AnkiLangs::LA
the room,,,,,AnkiLangs::LA
the town,,,,,AnkiLangs::LA
the university,,,,,AnkiLangs::LA
the club,,,,,AnkiLangs::LA
the bar,,,,,AnkiLangs::LA
the park,,,,,AnkiLangs::LA
the camp,,,,,AnkiLangs::LA
the store/shop,,,,,AnkiLangs::LA
the theater,,,,,AnkiLangs::LA
the library,,,,,AnkiLangs::LA
the hospital,,,,,AnkiLangs::LA
the church,,,,,AnkiLangs::LA
the market,,,,,AnkiLangs::LA
"the country (USA, France, etc.)",,,,,AnkiLangs::LA
the building,,,,,AnkiLangs::LA
the ground,,,,,AnkiLangs::LA
space (outer space),,,,,AnkiLangs::LA
the bank,,,,,AnkiLangs::LA
the location,,,,,AnkiLangs::LA
the hat,,,,,AnkiLangs::LA
the dress,,,,,AnkiLangs::LA
the suit,,,,,AnkiLangs::LA
the skirt,,,,,AnkiLangs::LA
the shirt,,,,,AnkiLangs::LA
the T-shirt,,,,,AnkiLangs::LA
the pants,,,,,AnkiLangs::LA
the shoes,,,,,AnkiLangs::LA
the pocket,,,,,AnkiLangs::LA
the coat,,,,,AnkiLangs::LA
the stain,,,,,AnkiLangs::LA
the clothing,,,,,AnkiLangs::LA
red,,,,,AnkiLangs::LA
green,,,,,AnkiLangs::LA
blue,,,,,AnkiLangs::LA
light blue,,,,,AnkiLangs::LA
dark blue,,,,,AnkiLangs::LA
yellow,,,,,AnkiLangs::LA
brown,,,,,AnkiLangs::LA
pink,,,,,AnkiLangs::LA
orange,,,,,AnkiLangs::LA
black,,,,,AnkiLangs::LA
white,,,,,AnkiLangs::LA
gray,,,,,AnkiLangs::LA
the color,,,,,AnkiLangs::LA
the son,,,,,AnkiLangs::LA
the daughter,,,,,AnkiLangs::LA
the mother,,,,,AnkiLangs::LA
the father,,,,,AnkiLangs::LA
the parent,,,,,AnkiLangs::LA
the baby,,,,,AnkiLangs::LA
the man,,,,,AnkiLangs::LA
the woman,,,,,AnkiLangs::LA
the brother,,,,,AnkiLangs::LA
the sister,,,,,AnkiLangs::LA
the family,,,,,AnkiLangs::LA
the grandfather,,,,,AnkiLangs::LA
the grandmother,,,,,AnkiLangs::LA
the husband,,,,,AnkiLangs::LA
the wife,,,,,AnkiLangs::LA
the king,,,,,AnkiLangs::LA
the queen,,,,,AnkiLangs::LA
the president,,,,,AnkiLangs::LA
the neighbor,,,,,AnkiLangs::LA
the boy,,,,,AnkiLangs::LA
the girl,,,,,AnkiLangs::LA
the child,,,,,AnkiLangs::LA
the adult,,,,,AnkiLangs::LA
the human,,,,,AnkiLangs::LA
the friend,,,,,AnkiLangs::LA
the victim,,,,,AnkiLangs::LA
the player,,,,,AnkiLangs::LA
the fan [person],,,,,AnkiLangs::LA
the crowd,,,,,AnkiLangs::LA
the person,,,,,AnkiLangs::LA
the teacher,,,,,AnkiLangs::LA
the student,,,,,AnkiLangs::LA
the lawyer,,,,,AnkiLangs::LA
the doctor,,,,,AnkiLangs::LA
the patient,,,,,AnkiLangs::LA
the waiter,,,,,AnkiLangs::LA
the secretary,,,,,AnkiLangs::LA
the priest,,,,,AnkiLangs::LA
the police,,,,,AnkiLangs::LA
the army,,,,,AnkiLangs::LA
the soldier,,,,,AnkiLangs::LA
the artist,,,,,AnkiLangs::LA
the author,,,,,AnkiLangs::LA
the manager,,,,,AnkiLangs::LA
the reporter,,,,,AnkiLangs::LA
the actor,,,,,AnkiLangs::LA
the job,,,,,AnkiLangs::LA
religion,,,,,AnkiLangs::LA
heaven,,,,,AnkiLangs::LA
hell,,,,,AnkiLangs::LA
death,,,,,AnkiLangs::LA
medicine,,,,,AnkiLangs::LA
money,,,,,AnkiLangs::LA
the dollar,,,,,AnkiLangs::LA
the bill [bank note],,,,,AnkiLangs::LA
marriage,,,,,AnkiLangs::LA
wedding,,,,,AnkiLangs::LA
the team,,,,,AnkiLangs::LA
relationship,,,,,AnkiLangs::LA
race [ethnicity],,,,,AnkiLangs::LA
sex [the act],,,,,AnkiLangs::LA
sex [gender],,,,,AnkiLangs::LA
murder,,,,,AnkiLangs::LA
prison,,,,,AnkiLangs::LA
technology,,,,,AnkiLangs::LA
energy,,,,,AnkiLangs::LA
war,,,,,AnkiLangs::LA
peace,,,,,AnkiLangs::LA
the attack,,,,,AnkiLangs::LA
the election,,,,,AnkiLangs::LA
the magazine,,,,,AnkiLangs::LA
the newspaper,,,,,AnkiLangs::LA
poison,,,,,AnkiLangs::LA
the gun,,,,,AnkiLangs::LA
