key,text:nb,ipa:nb,audio:nb,audio source:nb,tags:nb
alive,levende,/ˈleːvənə/,[sound:al_nb_no_alive.mp3],Google Cloud TTS<br>Voice: nb-NO-Standard-F,AnkiLangs::NB
April,april,/aˈpʁiːl/,[sound:al_nb_no_april.mp3],Google Cloud TTS<br>Voice: nb-NO-Standard-F,AnkiLangs::NB
art,kunst,/kʉnst/,[sound:al_nb_no_art.mp3],Google Cloud TTS<br>Voice: nb-NO-Standard-G,AnkiLangs::NB
August,august,/aʉˈɡʉst/,[sound:al_nb_no_august.mp3],Google Cloud TTS<br>Voice: nb-NO-Standard-F,AnkiLangs::NB
bad,dårlig,/ˈdɔːɭi/,[sound:al_nb_no_bad.mp3],Google Cloud TTS<br>Voice: nb-NO-Standard-F,AnkiLangs::NB
beautiful,,,,,AnkiLangs::NB
beer,,,,,AnkiLangs::NB
big / large,,,,,AnkiLangs::NB
black,,,,,AnkiLangs::NB
blind,,,,,AnkiLangs::NB
blood,,,,,AnkiLangs::NB
blue,,,,,AnkiLangs::NB
breakfast,,,,,AnkiLangs::NB
brown,,,,,AnkiLangs::NB
cheap,,,,,AnkiLangs::NB
clay,,,,,AnkiLangs::NB
clean,,,,,AnkiLangs::NB
coffee,,,,,AnkiLangs::NB
cold,,,,,AnkiLangs::NB
cool,,,,,AnkiLangs::NB
copper,,,,,AnkiLangs::NB
curved,,,,,AnkiLangs::NB
dark,,,,,AnkiLangs::NB
dark blue,,,,,AnkiLangs::NB
dead,,,,,AnkiLangs::NB
deaf,,,,,AnkiLangs::NB
death,,,,,AnkiLangs::NB
December,,,,,AnkiLangs::NB
deep,,,,,AnkiLangs::NB
diamond,,,,,AnkiLangs::NB
dinner,,,,,AnkiLangs::NB
dirty,,,,,AnkiLangs::NB
disease,,,,,AnkiLangs::NB
down,,,,,AnkiLangs::NB
dry,,,,,AnkiLangs::NB
dust,,,,,AnkiLangs::NB
Earth,,,,,AnkiLangs::NB
eight (8),,,,,AnkiLangs::NB
eighteen (18),,,,,AnkiLangs::NB
eighty (80),,,,,AnkiLangs::NB
eighty-one (81),,,,,AnkiLangs::NB
eighty-two (82),,,,,AnkiLangs::NB
eleven (11),,,,,AnkiLangs::NB
energy,,,,,AnkiLangs::NB
exercise,,,,,AnkiLangs::NB
expensive,,,,,AnkiLangs::NB
famous,,,,,AnkiLangs::NB
fast,,,,,AnkiLangs::NB
February,,,,,AnkiLangs::NB
female,,,,,AnkiLangs::NB
fifteen (15),,,,,AnkiLangs::NB
fifth (5th),,,,,AnkiLangs::NB
fifty (50),,,,,AnkiLangs::NB
fifty-one (51),,,,,AnkiLangs::NB
fifty-two (52),,,,,AnkiLangs::NB
first (1st),,,,,AnkiLangs::NB
five (5),,,,,AnkiLangs::NB
flat,,,,,AnkiLangs::NB
food,,,,,AnkiLangs::NB
forty (40),,,,,AnkiLangs::NB
forty-one (41),,,,,AnkiLangs::NB
forty-two (42),,,,,AnkiLangs::NB
four (4),,,,,AnkiLangs::NB
fourteen (14),,,,,AnkiLangs::NB
fourth (4th),,,,,AnkiLangs::NB
Friday,,,,,AnkiLangs::NB
glass,,,,,AnkiLangs::NB
God,,,,,AnkiLangs::NB
gold,,,,,AnkiLangs::NB
good,,,,,AnkiLangs::NB
gray,,,,,AnkiLangs::NB
green,,,,,AnkiLangs::NB
happy,,,,,AnkiLangs::NB
hard,,,,,AnkiLangs::NB
he,,,,,AnkiLangs::NB
healthy,,,,,AnkiLangs::NB
heaven,,,,,AnkiLangs::NB
heavy,,,,,AnkiLangs::NB
hell,,,,,AnkiLangs::NB
high,,,,,AnkiLangs::NB
hot,,,,,AnkiLangs::NB
I,,,,,AnkiLangs::NB
it,,,,,AnkiLangs::NB
January,,,,,AnkiLangs::NB
juice,,,,,AnkiLangs::NB
July,,,,,AnkiLangs::NB
June,,,,,AnkiLangs::NB
left,,,,,AnkiLangs::NB
"light [opposite of ""dark""]",,,,,AnkiLangs::NB
"light [opposite of ""heavy""]",,,,,AnkiLangs::NB
light blue,,,,,AnkiLangs::NB
long,,,,,AnkiLangs::NB
loose,,,,,AnkiLangs::NB
loud,,,,,AnkiLangs::NB
low,,,,,AnkiLangs::NB
lunch,,,,,AnkiLangs::NB
male,,,,,AnkiLangs::NB
March,,,,,AnkiLangs::NB
marriage,,,,,AnkiLangs::NB
material,,,,,AnkiLangs::NB
May,,,,,AnkiLangs::NB
mean,,,,,AnkiLangs::NB
medicine,,,,,AnkiLangs::NB
metal,,,,,AnkiLangs::NB
milk,,,,,AnkiLangs::NB
Monday,,,,,AnkiLangs::NB
money,,,,,AnkiLangs::NB
murder,,,,,AnkiLangs::NB
music,,,,,AnkiLangs::NB
narrow,,,,,AnkiLangs::NB
nature,,,,,AnkiLangs::NB
new,,,,,AnkiLangs::NB
nice,,,,,AnkiLangs::NB
nine (9),,,,,AnkiLangs::NB
nineteen (19),,,,,AnkiLangs::NB
ninety (90),,,,,AnkiLangs::NB
ninety-one (91),,,,,AnkiLangs::NB
ninety-two (92),,,,,AnkiLangs::NB
no,,,,,AnkiLangs::NB
November,,,,,AnkiLangs::NB
nuclear,,,,,AnkiLangs::NB
October,,,,,AnkiLangs::NB
oil,,,,,AnkiLangs::NB
"old [opposite of ""new""]",,,,,AnkiLangs::NB
"old [opposite of ""young""]",,,,,AnkiLangs::NB
one (1),,,,,AnkiLangs::NB
"one billion (1,000,000,000)",,,,,AnkiLangs::NB
one hundred (100),,,,,AnkiLangs::NB
one hundred eleven (111),,,,,AnkiLangs::NB
one hundred one (101),,,,,AnkiLangs::NB
one hundred ten (110),,,,,AnkiLangs::NB
"one hundred thousand (100,000)",,,,,AnkiLangs::NB
one hundred two (102),,,,,AnkiLangs::NB
"one million (1,000,000)",,,,,AnkiLangs::NB
one thousand (1000),,,,,AnkiLangs::NB
one thousand one (1001),,,,,AnkiLangs::NB
orange,,,,,AnkiLangs::NB
pain,,,,,AnkiLangs::NB
peace,,,,,AnkiLangs::NB
pink,,,,,AnkiLangs::NB
plastic,,,,,AnkiLangs::NB
poison,,,,,AnkiLangs::NB
poor,,,,,AnkiLangs::NB
prison,,,,,AnkiLangs::NB
quiet,,,,,AnkiLangs::NB
race [ethnicity],,,,,AnkiLangs::NB
race [sport],,,,,AnkiLangs::NB
red,,,,,AnkiLangs::NB
relationship,,,,,AnkiLangs::NB
religion,,,,,AnkiLangs::NB
rice,,,,,AnkiLangs::NB
rich,,,,,AnkiLangs::NB
right,,,,,AnkiLangs::NB
sad,,,,,AnkiLangs::NB
salt,,,,,AnkiLangs::NB
Saturday,,,,,AnkiLangs::NB
science,,,,,AnkiLangs::NB
second (2nd),,,,,AnkiLangs::NB
September,,,,,AnkiLangs::NB
seven (7),,,,,AnkiLangs::NB
seventeen (17),,,,,AnkiLangs::NB
seventy (70),,,,,AnkiLangs::NB
seventy-one (71),,,,,AnkiLangs::NB
seventy-two (72),,,,,AnkiLangs::NB
sex [gender],,,,,AnkiLangs::NB
sex [the act],,,,,AnkiLangs::NB
shallow,,,,,AnkiLangs::NB
she,,,,,AnkiLangs::NB
"short [opposite of ""long""]",,,,,AnkiLangs::NB
"short [opposite of ""tall""]",,,,,AnkiLangs::NB
sick,,,,,AnkiLangs::NB
silver,,,,,AnkiLangs::NB
six (6),,,,,AnkiLangs::NB
sixteen (16),,,,,AnkiLangs::NB
sixty (60),,,,,AnkiLangs::NB
sixty-one (61),,,,,AnkiLangs::NB
sixty-two (62),,,,,AnkiLangs::NB
slow,,,,,AnkiLangs::NB
small / little,,,,,AnkiLangs::NB
soft,,,,,AnkiLangs::NB
soil/earth [ground],,,,,AnkiLangs::NB
space (outer space),,,,,AnkiLangs::NB
sport,,,,,AnkiLangs::NB
stone,,,,,AnkiLangs::NB
straight,,,,,AnkiLangs::NB
strong,,,,,AnkiLangs::NB
sugar,,,,,AnkiLangs::NB
Sunday,,,,,AnkiLangs::NB
sweat,,,,,AnkiLangs::NB
tall,,,,,AnkiLangs::NB
tea,,,,,AnkiLangs::NB
technology,,,,,AnkiLangs::NB
temperature,,,,,AnkiLangs::NB
ten (10),,,,,AnkiLangs::NB
"ten thousand (10,000)",,,,,AnkiLangs::NB
the (train) ticket,,,,,AnkiLangs::NB
the actor,,,,,AnkiLangs::NB
the adjective,,,,,AnkiLangs::NB
the adult,,,,,AnkiLangs::NB
the afternoon,,,,,AnkiLangs::NB
the air,,,,,AnkiLangs::NB
the airport,,,,,AnkiLangs::NB
the animal,,,,,AnkiLangs::NB
the apartment,,,,,AnkiLangs::NB
the apple,,,,,AnkiLangs::NB
the arm,,,,,AnkiLangs::NB
the army,,,,,AnkiLangs::NB
the artist,,,,,AnkiLangs::NB
the attack,,,,,AnkiLangs::NB
the author,,,,,AnkiLangs::NB
the baby,,,,,AnkiLangs::NB
the back [anatomy],,,,,AnkiLangs::NB
the back [location],,,,,AnkiLangs::NB
the bag,,,,,AnkiLangs::NB
the ball,,,,,AnkiLangs::NB
