key,text:ru,ipa:ru,audio:ru,audio source:ru,tags:ru
alive,живой,/ʐɨˈvoj/,[sound:al_ru_ru_alive.mp3],Google Cloud TTS<br>Voice: ru-RU-Standard-A,AnkiLangs::RU
April,апрель,/ɐˈprʲelʲ/,[sound:al_ru_ru_april.mp3],Google Cloud TTS<br>Voice: ru-RU-Standard-A,AnkiLangs::RU
art,искусство,/ɪˈskustvə/,[sound:al_ru_ru_art.mp3],Google Cloud TTS<br>Voice: ru-RU-Standard-B,AnkiLangs::RU
August,август,/ˈavɡʊst/,[sound:al_ru_ru_august.mp3],Google Cloud TTS<br>Voice: ru-RU-Standard-A,AnkiLangs::RU
bad,плохой,/pɫɐˈxoj/,[sound:al_ru_ru_bad.mp3],Google Cloud TTS<br>Voice: ru-RU-Standard-A,AnkiLangs::RU
beautiful,,,,,AnkiLangs::RU
beer,,,,,AnkiLangs::RU
big / large,,,,,AnkiLangs::RU
black,,,,,AnkiLangs::RU
blind,,,,,AnkiLangs::RU
blood,,,,,AnkiLangs::RU
blue,,,,,AnkiLangs::RU
breakfast,,,,,AnkiLangs::RU
brown,,,,,AnkiLangs::RU
cheap,,,,,AnkiLangs::RU
clay,,,,,AnkiLangs::RU
clean,,,,,AnkiLangs::RU
coffee,,,,,AnkiLangs::RU
cold,,,,,AnkiLangs::RU
cool,,,,,AnkiLangs::RU
copper,,,,,AnkiLangs::RU
curved,,,,,AnkiLangs::RU
dark,,,,,AnkiLangs::RU
dark blue,,,,,AnkiLangs::RU
dead,,,,,AnkiLangs::RU
deaf,,,,,AnkiLangs::RU
death,,,,,AnkiLangs::RU
December,,,,,AnkiLangs::RU
deep,,,,,AnkiLangs::RU
diamond,,,,,AnkiLangs::RU
dinner,,,,,AnkiLangs::RU
dirty,,,,,AnkiLangs::RU
disease,,,,,AnkiLangs::RU
down,,,,,AnkiLangs::RU
dry,,,,,AnkiLangs::RU
dust,,,,,AnkiLangs::RU
Earth,,,,,AnkiLangs::RU
eight (8),,,,,AnkiLangs::RU
eighteen (18),,,,,AnkiLangs::RU
eighty (80),,,,,AnkiLangs::RU
eighty-one (81),,,,,AnkiLangs::RU
eighty-two (82),,,,,AnkiLangs::RU
eleven (11),,,,,AnkiLangs::RU
energy,,,,,AnkiLangs::RU
exercise,,,,,AnkiLangs::RU
expensive,,,,,AnkiLangs::RU
famous,,,,,AnkiLangs::RU
fast,,,,,AnkiLangs::RU
February,,,,,AnkiLangs::RU
female,,,,,AnkiLangs::RU
fifteen (15),,,,,AnkiLangs::RU
fifth (5th),,,,,AnkiLangs::RU
fifty (50),,,,,AnkiLangs::RU
fifty-one (51),,,,,AnkiLangs::RU
fifty-two (52),,,,,AnkiLangs::RU
first (1st),,,,,AnkiLangs::RU
five (5),,,,,AnkiLangs::RU
flat,,,,,AnkiLangs::RU
food,,,,,AnkiLangs::RU
forty (40),,,,,AnkiLangs::RU
forty-one (41),,,,,AnkiLangs::RU
forty-two (42),,,,,AnkiLangs::RU
four (4),,,,,AnkiLangs::RU
fourteen (14),,,,,AnkiLangs::RU
fourth (4th),,,,,AnkiLangs::RU
Friday,,,,,AnkiLangs::RU
glass,,,,,AnkiLangs::RU
God,,,,,AnkiLangs::RU
gold,,,,,AnkiLangs::RU
good,,,,,AnkiLangs::RU
gray,,,,,AnkiLangs::RU
green,,,,,AnkiLangs::RU
happy,,,,,AnkiLangs::RU
hard,,,,,AnkiLangs::RU
he,,,,,AnkiLangs::RU
healthy,,,,,AnkiLangs::RU
heaven,,,,,AnkiLangs::RU
heavy,,,,,AnkiLangs::RU
hell,,,,,AnkiLangs::RU
high,,,,,AnkiLangs::RU
hot,,,,,AnkiLangs::RU
I,,,,,AnkiLangs::RU
it,,,,,AnkiLangs::RU
January,,,,,AnkiLangs::RU
juice,,,,,AnkiLangs::RU
July,,,,,AnkiLangs::RU
June,,,,,AnkiLangs::RU
left,,,,,AnkiLangs::RU
"light [opposite of ""dark""]",,,,,AnkiLangs::RU
"light [opposite of ""heavy""]",,,,,AnkiLangs::RU
light blue,,,,,AnkiLangs::RU
long,,,,,AnkiLangs::RU
loose,,,,,AnkiLangs::RU
loud,,,,,AnkiLangs::RU
low,,,,,AnkiLangs::RU
lunch,,,,,AnkiLangs::RU
male,,,,,AnkiLangs::RU
March,,,,,AnkiLangs::RU
marriage,,,,,AnkiLangs::RU
material,,,,,AnkiLangs::RU
May,,,,,AnkiLangs::RU
mean,,,,,AnkiLangs::RU
medicine,,,,,AnkiLangs::RU
metal,,,,,AnkiLangs::RU
milk,,,,,AnkiLangs::RU
Monday,,,,,AnkiLangs::RU
money,,,,,AnkiLangs::RU
murder,,,,,AnkiLangs::RU
music,,,,,AnkiLangs::RU
narrow,,,,,AnkiLangs::RU
nature,,,,,AnkiLangs::RU
new,,,,,AnkiLangs::RU
nice,,,,,AnkiLangs::RU
nine (9),,,,,AnkiLangs::RU
nineteen (19),,,,,AnkiLangs::RU
ninety (90),,,,,AnkiLangs::RU
ninety-one (91),,,,,AnkiLangs::RU
ninety-two (92),,,,,AnkiLangs::RU
no,,,,,AnkiLangs::RU
November,,,,,AnkiLangs::RU
nuclear,,,,,AnkiLangs::RU
October,,,,,AnkiLangs::RU
oil,,,,,AnkiLangs::RU
"old [opposite of ""new""]",,,,,AnkiLangs::RU
"old [opposite of ""young""]",,,,,AnkiLangs::RU
one (1),,,,,AnkiLangs::RU
"one billion (1,000,000,000)",,,,,AnkiLangs::RU
one hundred (100),,,,,AnkiLangs::RU
one hundred eleven (111),,,,,AnkiLangs::RU
one hundred one (101),,,,,AnkiLangs::RU
one hundred ten (110),,,,,AnkiLangs::RU
"one hundred thousand (100,000)",,,,,AnkiLangs::RU
one hundred two (102),,,,,AnkiLangs::RU
"one million (1,000,000)",,,,,AnkiLangs::RU
one thousand (1000),,,,,AnkiLangs::RU
one thousand one (1001),,,,,AnkiLangs::RU
orange,,,,,AnkiLangs::RU
pain,,,,,AnkiLangs::RU
peace,,,,,AnkiLangs::RU
pink,,,,,AnkiLangs::RU
plastic,,,,,AnkiLangs::RU
poison,,,,,AnkiLangs::RU
poor,,,,,AnkiLangs::RU
prison,,,,,AnkiLangs::RU
quiet,,,,,AnkiLangs::RU
race [ethnicity],,,,,AnkiLangs::RU
race [sport],,,,,AnkiLangs::RU
red,,,,,AnkiLangs::RU
relationship,,,,,AnkiLangs::RU
religion,,,,,AnkiLangs::RU
rice,,,,,AnkiLangs::RU
rich,,,,,AnkiLangs::RU
right,,,,,AnkiLangs::RU
sad,,,,,AnkiLangs::RU
salt,,,,,AnkiLangs::RU
Saturday,,,,,AnkiLangs::RU
science,,,,,AnkiLangs::RU
second (2nd),,,,,AnkiLangs::RU
September,,,,,AnkiLangs::RU
seven (7),,,,,AnkiLangs::RU
seventeen (17),,,,,AnkiLangs::RU
seventy (70),,,,,AnkiLangs::RU
seventy-one (71),,,,,AnkiLangs::RU
seventy-two (72),,,,,AnkiLangs::RU
sex [gender],,,,,AnkiLangs::RU
sex [the act],,,,,AnkiLangs::RU
shallow,,,,,AnkiLangs::RU
she,,,,,AnkiLangs::RU
"short [opposite of ""long""]",,,,,AnkiLangs::RU
"short [opposite of ""tall""]",,,,,AnkiLangs::RU
sick,,,,,AnkiLangs::RU
silver,,,,,AnkiLangs::RU
six (6),,,,,AnkiLangs::RU
sixteen (16),,,,,AnkiLangs::RU
sixty (60),,,,,AnkiLangs::RU
sixty-one (61),,,,,AnkiLangs::RU
sixty-two (62),,,,,AnkiLangs::RU
slow,,,,,AnkiLangs::RU
small / little,,,,,AnkiLangs::RU
soft,,,,,AnkiLangs::RU
soil/earth [ground],,,,,AnkiLangs::RU
space (outer space),,,,,AnkiLangs::RU
sport,,,,,AnkiLangs::RU
stone,,,,,AnkiLangs::RU
straight,,,,,AnkiLangs::RU
strong,,,,,AnkiLangs::RU
sugar,,,,,AnkiLangs::RU
Sunday,,,,,AnkiLangs::RU
sweat,,,,,AnkiLangs::RU
tall,,,,,AnkiLangs::RU
tea,,,,,AnkiLangs::RU
technology,,,,,AnkiLangs::RU
temperature,,,,,AnkiLangs::RU
ten (10),,,,,AnkiLangs::RU
"ten thousand (10,000)",,,,,AnkiLangs::RU
the (train) ticket,,,,,AnkiLangs::RU
the actor,,,,,AnkiLangs::RU
the adjective,,,,,AnkiLangs::RU
