key,text:sq,ipa:sq,audio:sq,audio source:sq,tags:sq
the car,makina,/maˈkina/,,,AnkiLangs::SQ
Earth,Toka,/ˈtɔka/,,,AnkiLangs::SQ
the dog,qeni,/ˈcɛni/,,,AnkiLangs::SQ
the cat,macja,/ˈmaca/,,,AnkiLangs::SQ
the fish,peshku,/ˈpɛʃku/,,,AnkiLangs::SQ
the bird,zogu,/ˈzɔɡu/,,,AnkiLangs::SQ
the cow,lopa,/ˈlɔpa/,,,AnkiLangs::SQ
the pig,derri,/ˈdɛri/,,,AnkiLangs::SQ
the mouse,miu,/ˈmiu/,,,AnkiLangs::SQ
the horse,kali,/ˈkali/,,,AnkiLangs::SQ
the wing,krahu,/ˈkɾahu/,,,AnkiLangs::SQ
the animal,kafsha,/ˈkafʃa/,,,AnkiLangs::SQ
the train,treni,/ˈtɾɛni/,,,AnkiLangs::SQ
the plane,aeroplani,/aɛɾɔˈplani/,,,AnkiLangs::SQ
the truck,kamioni,/kamiˈɔni/,,,AnkiLangs::SQ
the bicycle,biçikleta,/biʧiˈklɛta/,,,AnkiLangs::SQ
the bus,autobusi,/autɔˈbusi/,,,AnkiLangs::SQ
the boat,barka,/ˈbaɾka/,,,AnkiLangs::SQ
the ship,anija,/aˈnija/,,,AnkiLangs::SQ
the tire,gomë,/ˈɡɔmə/,,,AnkiLangs::SQ
the gasoline,,,,,AnkiLangs::SQ
the engine,,,,,AnkiLangs::SQ
the (train) ticket,,,,,AnkiLangs::SQ
transportation,,,,,AnkiLangs::SQ
the city,,,,,AnkiLangs::SQ
the house,,,,,AnkiLangs::SQ
the apartment,,,,,AnkiLangs::SQ
the street/road,,,,,AnkiLangs::SQ
the airport,,,,,AnkiLangs::SQ
the train station,,,,,AnkiLangs::SQ
the bridge,,,,,AnkiLangs::SQ
the hotel,,,,,AnkiLangs::SQ
the restaurant,,,,,AnkiLangs::SQ
the farm,,,,,AnkiLangs::SQ
the court,,,,,AnkiLangs::SQ
the school,,,,,AnkiLangs::SQ
the office,,,,,AnkiLangs::SQ
the room,,,,,AnkiLangs::SQ
the town,,,,,AnkiLangs::SQ
the university,,,,,AnkiLangs::SQ
the club,,,,,AnkiLangs::SQ
the bar,,,,,AnkiLangs::SQ
the park,,,,,AnkiLangs::SQ
the camp,,,,,AnkiLangs::SQ
the store/shop,,,,,AnkiLangs::SQ
the theater,,,,,AnkiLangs::SQ
the library,,,,,AnkiLangs::SQ
the hospital,,,,,AnkiLangs::SQ
the church,,,,,AnkiLangs::SQ
the market,,,,,AnkiLangs::SQ
"the country (USA, France, etc.)",,,,,AnkiLangs::SQ
the building,,,,,AnkiLangs::SQ
the ground,,,,,AnkiLangs::SQ
