key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
the car,QDkgi}AF^*,,,,,
Earth,k]A|@&UTG4,,,,,
the dog,vv0VEcY2)=,,,,,
the cat,CR3}ap(^K0,,,,,
the fish,"Dd4Myi([H,",,,,,
the bird,"ou7^v-*,MB",,,,,
the cow,JbMN$k04Yd,,,,,
the pig,D<4qi;hJ:^,,,,,
the mouse,"PU^1txa,9o",,,,,
the horse,pMwBNO1[e[,,,,,
the wing,bYd{!Qj/36,,,,,
the animal,Cw-ZGB[{vz,,,,,
the train,KaqK`@B9)h,,,,,
the plane,Bu}3U~iPc_,,,,,
the truck,QldTt>gD$G,,,,,
the bicycle,jeL;X>alml,,,,,
the bus,G!3Q;~!;OS,,,,,
the boat,CzqFSiZS/_,,,Die kleinere Variante.,Die kleinere Variante.,barco bedeutet sowohl Schiff als auch Boot.
the ship,s%j/hgLbhx,,,Die größere Variante.,Die größere Variante.,barco bedeutet sowohl Schiff als auch Boot.
the tire,bf2iOW-%B!,,,,,
the gasoline,kKJK)ThB%b,,,,,
the engine,kUa;]cm~IS,,,,,
the (train) ticket,v5N0!n]i[r,,,,,
transportation,"PDqyt,`Aw=",,,,,
the city,n{?3(&TLjT,,,,,
the house,IMrf?L7%je,,,,,
the apartment,g%.$<s]Gt%,,,,,
the street/road,eS#NAvNezR,,,,,
the airport,I0{T(a#A(W,,,,,
the train station,Py}-VzU#|d,,,,,
the bridge,Fk?;.tE5}(,,,,,
the hotel,Bq>#-JGN1-,,,,,
the restaurant,fY5~C#fjY*,,,,,
the farm,"Nm&%WeS,_6",,,,,
the court,tjbI|;}6eQ,,,,,
the school,"N,`DEGwQCM",,,,,
the office,J)@*oMXI8W,,,,,
the room,A+!OIJ:}H3,,,,,
the town,"PVu,%`dtL&",,,,,
the university,okx_{mX0L>,,,,,
the club,f`8`!^R1Nu,,,,,
the bar,c^lR:Eloik,,,,,
the park,"t!@:GFb(@,",,,,,
the camp,G`{2~lIUDY,,,,,
the store/shop,"uC@@Xtk2d,",,,,,
the theater,cb~z(&b9#Q,,,,,
the library,GDxB$~7>$a,,,,,
the hospital,wN0kB}_u11,,,,,
the church,i63G5Ux)A8,,,,,
the market,cv!pEC.o^#,,,,,
"the country (USA, France, etc.)",t:jFXpo^}b,,,,,
the building,kRQG`8q5=e,,,,,
the ground,k*?4s_U*;u,,,,,
space (outer space),C6NNE@_?2{,,,,,
the bank,v;D.c[2UQr,,,,,
the location,AV2UbRI`W/,,,,,
the hat,wnc&2j:)2I,,,,,
the dress,AHPqdM!7Go,,,,,
the suit,KOX>k/DYVR,,,,,
the skirt,rkB$l$k_8e,,,,,
the shirt,|P?u_xG{Q,,,,,
the T-shirt,O9O->Y>Q%x,,,,,
the pants,mw8.P:]Tvh,,,,,
the shoes,P.oQ1qNgb&,,,,,
the pocket,fD[XG=PCn2,,,,,
the coat,ohF;2[ZU){,,,,,
the stain,rH)>2r:V<4,,,,,
the clothing,d!n<io*[o;,,,,,
red,"d+F+<,2&H<",,,,,
green,ImMuvE~R}p,,,,,
blue,Ki&yjzBB94,,,,,
light blue,c.DgegrdP^,,,,,
dark blue,jUm@W|^#1!,,,,,
yellow,F:L~^!@;n.,,,,,
brown,nH2LEZWEln,,,,,
pink,L5]<QFxKUj,,,,,
orange,p0j%k`J%iJ,,,,,
black,Kd>a^B]#5M,,,,,
white,ip&(@Oi9ix,,,,,
gray,"D,^j[M=BhU",,,,,
the color,O*;3rN18ok,,,,,
the son,jcrfWM[bID,,,,,
the daughter,A+<6K$iRv3,,,,,
the mother,fXd]&[J(<P,,,,,
the father,m5GEi@MZnQ,,,,,
the parent,B.y:V4@CSy,,,,,
the baby,c/tPYvm<W;,,,,,
the man,Euqp##V]sj,,,,,
the woman,ip=)c92o}F,,,,,
the brother,Jb@a8[^H9@,,,,,
the sister,g`mPbYKctW,,,,,
the family,K?:_2e_ChS,,,,,
the grandfather,tFoGI{z%*k,,,,,
the grandmother,.GK:!w<5#,,,,,
the husband,"eEZU,`f)mn",,,,,
the wife,E/y-8]-I`h,,,,,
the king,"NroP,FsE9M",,,,,
the queen,r]@>EhuQm},,,,,
the president,"d=.aL|,vz@",,,,,
the neighbor,jW1MCgwI{<,,,,,
the boy,I?sl_*j@XJ,,,,,
the girl,vEW)K=b)>Q,,,,,
the child,"KM0A@,n$Sa",,,,,
the adult,GO&G8Dtt?~,,,,,
the human,se{93%@}{*,,,,,
the friend,BuC0Oq;L/%,,,,,
the victim,Iazlu8x}*2,,,,,
the player,p5(^np+j^H,,,,,
the fan [person],BglD{~6F_3,,,,,
the crowd,CwwxB<8;md,,,,,
the person,D>_WVsHx$$,,,,,
