key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
alive,4%D|Dai5P,,,,,
April,G?u36%U5H{,,,,,
art,v<eh/D9n4*,,,,,
August,e=Y0e`t15(,,,,,
bad,"EqCb_o<HL,",,,,,
beautiful,gc+AL?sv@4,,,,,
beer,CdkS4`rApp,,,,,
big / large,io%V8R:3Da,,,,,
black,K]H;$(r[X5,,,,,
blind,Kl1Z<$$wB0,,,,,
blood,zZU-^qsDv7,,,,,
blue,xS5oW4iy(V,,,,,
breakfast,iQ!_R<Vx4=,,,,,
brown,i2>OLHgNKY,,,,,
cheap,J+(L7O@.GU,,,,,
clay,b?v1F/97!G,,,,,
clean,yIEE7fVqo6,,,,,
coffee,G`w~_u@`z~,,,,,
cold,A%hshloXK;,,,low temperature,low temperature,
cool,KW|84Coi=c,,,mildly cold,mildly cold,
copper,G;5klDQ[jN,,,,,
curved,k7z|s1AAM+,,,,,
dark,"MHm|S,H:ih",,,,,
dark blue,I:BR<o=htF,,,,,
dead,iX2FHh4(?>,,,,,
deaf,LYyb@L7-i8,,,,,
death,{:}nl^BGR,,,,,
December,BwTfHLl;6L,,,,,
deep,LsxHDL^!JW,,,,,
diamond,MG</cJ<L]&,,,,,
dinner,Q72%;hm#Iv,,,,,
dirty,e[@{Nl[Fx[,,,,,
disease,MiNs]Pa*8%,,,,,
down,c0H!.u;8Oh,,,,,
dry,wpI^}KWBeS,,,,,
dust,P|*t%3AE3P,,,,,
Earth,B;*p7/`(A_,,,planet,planet,
eight (8),E*O_Ry>Z+X,,,,,
eighteen (18),k<u}ukHjV-,,,,,
eighty (80),jm]ddCE]@H,,,,,
eighty-one (81),n_uqvbef;7,,,,,
eighty-two (82),P=tZ.a)|Wd,,,,,
eleven (11),dn(Ng8MgGJ,,,,,
energy,HVrKP7hjGz,,,,,
exercise,|vd?!UBTG,,,,,
expensive,t8-9w]Wc3w,,,,,
famous,zO8g;J3[j6,,,,,
fast,N-RuFZ%0kJ,,,,,
February,ydXsR2jIr7,,,,,
female,ppLr08d&vX,,,,,
fifteen (15),KuvHSLBAb!,,,,,
fifth (5th),i0i<&JBC~r,,,,,
fifty (50),Ktn:<C_D^U,,,,,
fifty-one (51),MP-lG)f|-f,,,,,
fifty-two (52),EG:*T~d)tk,,,,,
first (1st),"kRd>,hZDrI",,,,,
five (5),s1/0.2u[U],,,,,
flat,sg6q?+o~IE,,,,,
food,u<AE@lok_L,,,,,
forty (40),b-;?j**ZoK,,,,,
forty-one (41),A=.i/IJ1[(,,,,,
forty-two (42),DKc#lP[Y_Q,,,,,
four (4),Ha(@ms`=;`,,,,,
fourteen (14),sBsbygX!1A,,,,,
fourth (4th),ud+rq&<~Y[,,,,,
Friday,tLC?%9/:EY,,,,,
glass [material],qUKpU.)Q<L,,,,,
God,eur@Q*&/r-,,,,,
gold,k]YvZ/5V7_,,,,,
good,l(<@1?{:zN,,,,,
gray,B#Ro><jXrz,,,,,
green,PPd2_B?H2$,,,,,
happy,djxlV^(:vu,,,,,
hard,N.SK`M9dq.,,,,,
he,xK)iZM(iAI,,,male person,male person,
healthy,fI+ptG!yt+,,,,,
heaven,"M[chA,)H|r",,,,,
heavy,"hN&I^?j~,6",,,,,
hell,"BS7N,hp!u@",,,,,
high,MiwU4Hd?j),,,elevation,elevation,
hot,kpT:^TR5E5,,,,,
I,rYikL;h|gU,,,,,
it,j]zI/dF4g6,,,"thing, not a person","thing, not a person",
January,nZ`HwDp_X!,,,,,
juice,bp$hvoLre1,,,,,
July,z`k~UV279>,,,,,
June,"t;F=3N,!$/",,,,,
left,"wLqLiL,_<z",,,,,
"light [opposite of ""dark""]",jok%%I{g<>,brightness,,,,
"light [opposite of ""heavy""]",KFs2jJ]|F(,weight,,,,
light blue,x)3@akF)4j,,,,,
long,r6fJG=w?}i,,,length,length,
loose,"DYb=9.x$,D",,,,,
loud,vw!hoXkj+b,,,volume,volume,
low,G;UY2k.2(r,,,,,
lunch,h/8x:P!8T{,,,,,
male,e<%?sKt=ki,,,,,
March,QkZ<nTsx/B,,,,,
marriage,dld!<g>`RZ,,,,,
material,"n,W<.>w/Q#",,,,,
May,t&&)3H_&]y,,,,,
mean,zAdi5q7G3n,,,,,
medicine,"n&x,&YnwE/",,,,,
metal,u~5^l7;Nk7,,,,,
milk,K]m[zbb~2G,,,,,
Monday,G?DY)V7oVo,,,,,
money,r56^j]Mfk>,,,,,
murder,w`~:aR5%0{,,,,,
music,"L+l(^$,wdz",,,,,
narrow,y]2EpCh#uN,,,not wide,not wide,
nature,srMvO=!!T&,,,,,
new,xa7J6Nm+yf,,,,,
nice,G.ON$?zBoy,,,,,
nine (9),h_^[qVul&j,,,,,
nineteen (19),fp5|BAw29f,,,,,
ninety (90),"uv?%=LaJ,r",,,,,
ninety-one (91),ku#J1[m8&m,,,,,
ninety-two (92),Pjo.T9p`6r,,,,,
no,jfM#SqPoJf,,,,,
November,q0?Hh=(2!M,,,,,
nuclear,qD=?>l/k[^,,,,,
October,LDK[s.avT-,,,,,
oil,CdE*~f9jw6,,,,,
"old [opposite of ""new""]",rW6>#1LW:P,not recently made,,,,
"old [opposite of ""young""]",QD400Uj[wq,age of person,,,,
one (1),nxmBl^BT.b,,,,,
"one billion (1,000,000,000)",i(i`Mcy^5&,,,,,
one hundred (100),"etX.,]k:vE",,,,,
one hundred eleven (111),M(A.B6|3d>,,,,,
one hundred one (101),gUu5MKY1Tv,,,,,
one hundred ten (110),MJ0x[+!:2O,,,,,
"one hundred thousand (100,000)",g5[x#<hv#q,,,,,
one hundred two (102),gv`q2M7J[d,,,,,
"one million (1,000,000)",cUwm>-[M<2,,,,,
one thousand (1000),b`8sHL!D$e,,,,,
one thousand one (1001),gcb5RB&!hJ,,,,,
orange,w;q+c--/_a,,,,,
pain,V]u:xY:b?,,,,,
peace,"EwM,n$3hf$",,,,,
pink,l*!y(_b.LT,,,,,
plastic,q!L&kpP8gd,,,,,
poison,pk|gLmH_WR,,,,,
