key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
the car,sL/oL+iIo5,,,,,
Earth,C}PX$>7$Up,,,,,
the dog,dQ.J6pRr$L,,,,,
the cat,q:[MKbh9&I,,,,,
the fish,IlXfu}s{Z.,,,,,
the bird,i0Gi#l[{In,,,,,
the cow,"J@[;53w|d,",,,,,
the pig,"r6iU,o/LnQ",,,,,
the mouse,unY_Wdq[=~,,,,,
the horse,gJQCYY9ZUU,,,,,
the wing,p?q8xz-B7),,,,,
the animal,tKijK&_(mF,,,,,
the train,x9SxP1!zq7,,,,,
the plane,OjDrzvT/;N,,,,,
the truck,c-t}Fc~pyw,,,,,
the bicycle,qHyn>3.hkw,,,,,
the bus,F_y#h0Cmr],,,,,
the boat,NxwuxV#ZWb,,,,,
the ship,lTI9IXL~26,,,,,
the tire,KtlkY[PkCw,,,,,
the gasoline,uXPu|hvbba,,,,,
the engine,"P,?=u,45`V",,,,,
the (train) ticket,xH%thmkGwA,,,,,
transportation,u)GN|tK+tB,,,,,
the city,qBZ<q^U#~x,,,,,
the house,G$XR1ec?Gg,,,,,
the apartment,w$&{!XZZrQ,,,,,
the street/road,x%}}`1g2HE,,,,,
the airport,mr9iG:R0sx,,,,,
the train station,nBe3$UbcZJ,,,,,
the bridge,EFADCsnM}n,,,,,
the hotel,h/_~~/$BJG,,,,,
the restaurant,n=fAp_#5l.,,,,,
the farm,d;N7rI[@!j,,,,,
the court,m@g3!=wL$x,,,,,
the school,u4S6qp)o*(,,,,,
the office,"y#m}64,R?l",,,,,
the room,c>Ov@:R&I:,,,,,
the town,g#9GMWUhP^,,,,,
the university,wJ^Cxa)9v],,,,,
the club,E=9+~v&/E$,,,,,
the bar,DeKEBcB75G,,,,,
the park,H1fB0SBJLu,,,,,
the camp,yvPo!R2}se,,,,,
the store/shop,Yc;fv*bV6,,,,,
the theater,"h1T&{%hp6,",,,,,
the library,b=;Q?6FF;l,,,,,
the hospital,"wr[L{,dS6^",,,,,
the church,ei_dNrZPfF,,,,,
the market,dUHWi|a*A5,,,,,
"the country (USA, France, etc.)",uip$y9e$t6,,,,,
the building,Q.ak$I5#.,,,,,
the ground,qSm%0<$c@3,,,,,
space (outer space),PY2fwyovJj,,,,,
the bank,L@xN05)bO_,,,,,
the location,"KSc]5M,8`1",,,,,
the hat,A+CG0Y$#=K,,,,,
the dress,D}~^ExibW9,,,,,
the suit,vj|5Wrklq3,,,,,
the skirt,qMqg]QUtrZ,,,,,
the shirt,f}+40VX=gh,,,,,
