key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
alive,p6;->j:Yb4,,,,,
April,lHQXbYM3V[,,,,,
art,wMa%O~SBCG,,,,,
August,E9njB$amIr,,,,,
bad,s^}MLN.L1O,,,,,
beautiful,v6Kf-j;uZ`,,,,,
beer,b(L.k}P.:1,,,,,
big / large,E1CY$hN65C,,,,,
black,"t(O%?</,*&",,,,,
blind,x}b#PRJ_t4,,,,,
blood,btAa2p852,,,,,
blue,f3f|T>k@9%,,,,,
breakfast,tYQV3ZxA:8,,,,,
brown,lqK27@^H%B,,,,,
cheap,J`F!=8W/3e,,,,,
clay,r:SojKX@C1,,,,,
clean,gVr@7=Vp|],,,,,
coffee,ypKo?UMP]},,,,,
cold,P%s|c31guu,,,,,
cool,ogs@|k=gSn,,,,,
copper,CaTK/cQ<]1,,,,,
curved,QI@~)`M=22,,,,,
dark,iFFx4}&q7b,,,,,
dark blue,mje]X{39lY,,,,,
dead,d>a6a$~Wlq,,,,,
deaf,hJiR[?%TMi,,,,,
death,xCNlvdPy~6,,,,,
December,"oR_W]$/,c/",,,,,
deep,o&Z1A2df3E,,,,,
diamond,"r1kFm,`(VS",,,,,
dinner,tZl9@h!u$:,,,,,
dirty,D+6r^P/;JB,,,,,
disease,"G;,P^FOO<`",,,,,
down,vC@6Er<!c>,,,direction,direction,
dry,zA4E-Ep|Zv,,,,,
dust,Bxty;jR%p*,,,,,
Earth,A:(R`xp[Ss,,,planet,planet,
eight,vNk;1._klw,,,,,
eighteen,E/.mzTl;K^,,,,,
eighty,wE(mh4oko4,,,,,
eighty-one,eS>1[JK-i5,,,,,
eighty-two,xE@qcR.]A8,,,,,
eleven,QhKN>0V0i8,,,,,
energy,vs-+S!p3=n,,,,,
exercise,KIJ0UI_w(m,,,physical activity,physical activity,
expensive,w3$OLnL@XE,,,,,
famous,Q`Nf)fxM;u,,,,,
fast,x%Hkz<DE@=,,,,,
February,q-*0?]B2.6,,,,,
female,wl^cHB:.>h,,,,,
fifteen,qG<5(dOZ$J,,,,,
fifth,kX?d#{:9iG,,,,,
fifty,In#n758ir3,,,,,
fifty-one,DV#:ynRWHK,,,,,
fifty-two,sx|r=d2;I#,,,,,
first,kJ8`Fa!]z0,,,,,
five,oc[t?*=ca},,,,,
flat,Hgn6r+djt{,,,,,
food,ET4!Ph86}Q,,,,,
forty,f6S?n/Bh}M,,,,,
forty-one,wmxy-85~C`,,,,,
forty-two,Ayj;X;FV[b,,,,,
four,b+Reef>whV,,,,,
fourteen,hW4P!h7SkY,,,,,
fourth,lT92osr>TE,,,,,
Friday,Gx@[*Tl}p.,,,,,
glass [material],"l,YJ#d6a5z",,,,,
God,C#1c[`l*v^,,,,,
gold,KC?IT)yQ%z,,,,,
good,"O{%TgRe2q,",,,,,
gray,c{BmDq$UQz,,,,,
green,huzfd6F[t1,,,,,
happy,ns2L&n4@Tw,,,,,
hard,cn4T@7$9bm,,,,,
he,Dti($)9qzE,,,male,male,
healthy,s%2]Ier}~b,,,,,
heaven,I+Wl1)>mXh,,,,,
heavy,F?4bgiCDW/,,,,,
hell,O8Ra6$wI2V,,,,,
high,d=TD[^a$v~,,,elevation,elevation,
hot,qGF{9GC/t.,,,,,
I,t=$sn]P(QP,,,,,
it,A]z{b85@qK,,,,,
January,GIYI-N.wbk,,,,,
juice,DI3N-^#A}o,,,,,
July,Mmj=FgBXgx,,,,,
June,q/93:T{k:9,,,,,
left,bCCS%h>zgy,,,,,
"light [opposite of ""dark""]",J%D`%t8mq:,brightness,,,,
"light [opposite of ""heavy""]",ki}ytJ8.8W,weight,,,,
light blue,NurOx}`Nb0,,,,,
long,"y,c.l!H<N-",,,length,length,
loose,Ozb^QA-+Ca,,,,,
loud,n8xE@Bi=He,,,volume,volume,
low,yqq)4vTd+4,,,height,height,
lunch,"P{N0@2r,va",,,,,
male,i%v?me[g@-,,,,,
March,L[FJJELX=9,,,,,
marriage,Af%wukL[J+,,,,,
material,w^2?RF`]ew,,,,,
May,KVNS+DRtsZ,,,,,
mean,sXB&4vx/o1,,,,,
medicine,Lq0h&YH{I2,,,medical treatment,medical treatment,
metal,8U(mnT/au,,,,,
milk,"PA>4g,)0QG",,,,,
Monday,Izp}K7}a-0,,,,,
money,QR:d}C|:aF,,,,,
murder,cN?p>v5!y<,,,,,
