key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
alive,"r,#vy::6jI",,,,,
April,"B6?l,@@y7Z",,,,,
art,z7m5^-C]t},,,,,
August,J{UziG%bFj,,,,,
bad,C}!^`547|j,,,,,
beautiful,"MAg)NG,_uL",,,,,
beer,g~~e|>u0W-,,,,,
big / large,dIQ}bC3&0H,,,,,
black,g(-6aAZ<66,,,,,
blind,qqJ?_jr)`=,,,,,
blood,fbWB;U3tYR,,,,,
blue,j=<fc>:/lt,,,,,
breakfast,H}<KH%e%mJ,,,,,
brown,q$)F{O^(f@,,,,,
cheap,mubOd0PPm-,,,,,
clay,JH<h8Gf^]),,,for pottery,for pottery,
clean,t`WUx^BdC},,,,,
coffee,"Avz,;ix<2v",,,,,
cold,hgIjaY6&xp,,,low temperature,low temperature,
cool,csJ*(QV-iX,,,mildly cold,mildly cold,
copper,d!>Ty6nP{h,,,,,
curved,LPyNAMo:lG,,,,,
dark,qe%r58VvhU,,,,,
dark blue,l)N6ynVEMj,,,,,
dead,Z7Ip_@ni(,,,,,
deaf,P4[zzII(w3,,,,,
death,vl{A-spSZg,,,,,
December,Rh7@h=UvCX,,,,,
deep,x4HhgO4>i`,,,,,
diamond,ELgnR[/i1w,,,,,
dinner,EI27F4}+Kc,,,,,
dirty,q2IY!q%}r!,,,,,
disease,"O#<oI+tfu,",,,,,
down,m*#97CR<)g,,,,,
dry,G1|6c)i^FD,,,,,
dust,t_@xJ]Q@b`,,,,,
Earth,qjNG{dg%{W,,,,,
eight,KMi%9-z@7N,,,,,
eighteen,uS8CMr(xG~,,,,,
eighty,H9O.I)Jiyc,,,,,
eighty-one,jNwi%#r<E_,,,,,
eighty-two,wfuk!9UyKb,,,,,
eleven,dsQdV$L*Si,,,,,
energy,EmLs}uwxCu,,,,,
exercise,H~%kbq;Lx[,,,,,
expensive,fW`{jDec4b,,,,,
famous,yVJY6Xv!uw,,,,,
fast,e=hUOf[:3W,,,speed,speed,
February,LHB/1:Ra7W,,,,,
female,z~}+W)hzG{,,,,,
fifteen,KSrg-R$6o0,,,,,
fifth,F=^dHBPL}P,,,,,
fifty,AA$]*s~B&l,,,,,
fifty-one,e(0`0^yDe#,,,,,
fifty-two,fscrSt-fOm,,,,,
