key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
alive,mf#_UuF:f/,,,,,
April,bJjxQh=CK@,,,,,
art,d}R;n|8h+l,,,creative work,creative work,
August,Mk?kkD]tp$,,,,,
bad,gW?pi&+#QL,,,,,
beautiful,J*T8+A^R8x,,,,,
beer,AkcRCgD:m#,,,,,
big / large,oJF>y]2.Bh,,,,,
black,G5)%fw{b)h,,,,,
blind,pI{5e}0*U],,,,,
blood,Lh-xLBGnk2,,,,,
blue,k`6K`1v</a,,,,,
breakfast,ge~D=Ye{0Y,,,,,
brown,kKy/Dud9j],,,,,
cheap,NwYoK0$lg<,,,,,
clay,pRd#dz+)kN,,,,,
clean,Jl{F8E&zJ<,,,,,
coffee,"uxD!^TIvK,",,,,,
cold,vveX-$uiBx,,,freezing,freezing,
cool,E]p`)X0wQC,,,chilly,chilly,
copper,"G|iMpSdTf,",,,,,
curved,lXFTro8Gp;,,,,,
dark,tLf:F2;}|[,,,,,
dark blue,hLOi7ZP*<c,,,,,
dead,k$X22fkTjq,,,,,
deaf,qyyR#bF;;~,,,,,
death,CTCJ(Qdp3-,,,,,
December,p&3Lf{q]Jw,,,,,
deep,zE5D?CD92W,,,,,
diamond,"I`4{-TgHI,",,,,,
dinner,vcwWGK(3(G,,,,,
dirty,ec<(YqVZw2,,,unclean,unclean,
disease,qi?=JLjSPI,,,,,
down,hwT5msf#iG,,,,,
dry,fe.xXmP^kk,,,,,
dust,HTWrJz]??U,,,,,
Earth,kLdjXY3Aq!,,,,,
eight (8),fK=~9#rnD!,,,,,
eighteen (18),H[WhkQq>/y,,,,,
eighty (80),i6k_J_GJg^,,,,,
eighty-one (81),c8Wcay3eq=,,,,,
eighty-two (82),wqi=)Y=sB-,,,,,
eleven (11),b7hU]?5-xh,,,,,
energy,jy$@}eeS>!,,,,,
exercise,"j%_X{@VE4,",,,,,
expensive,yV?[3<Its],,,,,
famous,Cu{$(mzL@G,,,,,
fast,gi|jJm]g9;,,,,,
February,rDg$Mys4f<,,,,,
female,b4KM+LqmY:,,,,,
fifteen (15),F2Sm=!4_fB,,,,,
fifth (5th),QYA]6bG=P8,,,,,
fifty (50),HiJ#SQVm$K,,,,,
fifty-one (51),Lq:~BLk5!(,,,,,
fifty-two (52),C1)67Didq*,,,,,
first (1st),kWez?He10_,,,,,
five (5),"DLj@:A,:Kk",,,,,
flat,OQ-LLy!jd:,,,,,
food,OlD1K.y[c$,,,,,
forty (40),i-^YYda1&v,,,,,
forty-one (41),"pN/qFp,=^&",,,,,
forty-two (42),D&+e_Ix@k8,,,,,
four (4),w{}z$0+Uc&,,,,,
fourteen (14),l_WVa5+pG>,,,,,
fourth (4th),H#pG<QqTTY,,,,,
Friday,n##Sf(m+Hp,,,,,
glass [material],t|IETl]A7Z,,,,,
God,m!rP-MgCp>,,,,,
gold,Gz#WJLd@L.,,,,,
good,uhuOlnNPNy,,,quality,quality,
gray,jVn3iI$n9,,,,,
green,JfCh4-GiEq,,,,,
happy,JUyO~Wa^=r,,,,,
hard,"zIDSj~fs,<",,,,,
