key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
alive,"tj,pO3unkH",,,,,
April,"k,7^g7TM8;",,,,,
art,3hVxojIzt,,,,,
August,envy&X264C,,,,,
bad,Bt~TT[T]>t,,,,,
beautiful,GmRj69Hf0O,,,,,
beer,pue~4/_<a),,,,,
big / large,d21sq7=1yG,,,size,size,
black,llDh](ylh4,,,,,
blind,K~lP@v1.LU,,,,,
blood,uJLG2PW%.5,,,,,
blue,y/mq%(OuK[,,,,,
breakfast,ylGY8fvNQr,,,,,
brown,c%|ZSZ!65&,,,,,
cheap,J2tZ4Q6^A.,,,,,
clay,c1oB4amnb>,,,for pottery,for pottery,
clean,QO{<bKqI_6,,,,,
coffee,iG)]z+gpOZ,,,,,
cold,xSA1_GiehX,,,,,
cool,FTIrB{dLV),,,,,
copper,N+S;q;c#)8,,,,,
curved,v]JCNMmR*/,,,,,
dark,NegGwc.uz9,,,,,
dark blue,h)k;@%zvnR,,,,,
dead,CHH7t[NC=[,,,,,
deaf,g=UQ(ug;`5,,,,,
death,gSlatb`9ml,,,,,
December,tT;qDK~^#z,,,,,
deep,O@9M{!:VCU,,,,,
diamond,Mv)3|zQA#L,,,,,
dinner,c0>m/OKp0/,,,,,
dirty,CZt-!?4%f9,,,,,
disease,DTEE&NJpjT,,,,,
down,eTb_<O$[;),,,,,
dry,rsyn|IwZDe,,,,,
dust,m+lS1-}P/Z,,,,,
Earth,"F0M2v/:BM,",,,,,
eight (8),hg?o>VoyyB,,,,,
eighteen (18),k1Jt@R~zxn,,,,,
eighty (80),F8@_kFy]XM,,,,,
eighty-one (81),wke9U::QrJ,,,,,
eighty-two (82),y5|h~l-=4-,,,,,
eleven (11),P8rMg]PCi3,,,,,
energy,s7YuHtJeU`,,,,,
exercise,P<.sh-<9kx,,,,,
expensive,zRV=$P`KgY,,,,,
famous,O^N-&IQM9A,,,,,
fast,c&v?Q`Q&:4,,,,,
February,Ep=0{.N0iJ,,,,,
female,dUuzmg-7Qf,,,gender,gender,
fifteen (15),"MiN,AFIH5-",,,,,
fifth (5th),DE%(NkJ/!e,,,,,
fifty (50),Ig:H<3%!69,,,,,
fifty-one (51),w}1k.*=^Sl,,,,,
fifty-two (52),JutPKD5o.n,,,,,
first (1st),x;B+kRnEq!,,,,,
five (5),h%$*.0(rXg,,,,,
flat,B}Hv-w9>O_,,,,,
food,c$9_Lkq6G-,,,,,
forty (40),"r,**3Ns`m!",,,,,
forty-one (41),p:wwZ>w7bE,,,,,
forty-two (42),j[_<m%ZofQ,,,,,
four (4),N>-KI.OPx$,,,,,
fourteen (14),GX3+g=+]dq,,,,,
fourth (4th),lXT|H#<:9j,,,,,
Friday,I;A~4DsO{R,,,,,
glass [material],qf[:j_5&;+,,,,,
God,A>E]/uoM.4,,,,,
gold,w0Dp@R!JU:,,,,,
good,KubD#}Aeb!,,,,,
gray,"cTFn0keG,J",,,,,
green,xYiGY&w$l-,,,,,
happy,Gk8vylb;g],,,,,
hard,cRX_:l-.gX,,,,,
he,oYz)IW_gF3,,,,,
healthy,tTR{%c`(yo,,,,,
heaven,etxb`%fDnK,,,,,
heavy,N5$FE_e<XG,,,,,
hell,MAs14{^!jZ,,,,,
high,llwY?}}XxE,,,altitude,altitude,
hot,EyCXeo2s0M,,,,,
I,"B,|H;h1thJ",,,,,
it,HzX!/ZP7o7,,,singular,singular,
January,"r=:?GG8,mQ",,,,,
juice,MhY[f6p!aq,,,,,
July,e_u.Jqbs:e,,,,,
June,oT>jO}KTc?,,,,,
left,h>/y2ZCkp8,,,,,
"light [opposite of ""dark""]",B)qhNpbJj=,brightness,,,,
"light [opposite of ""heavy""]","HA&3lp,15_",weight,,,,
light blue,vKqYaY_qwm,,,,,
long,kLC[cqMvCh,,,,,
