key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
alive,l]yrz4:kkV,,,,,
April,w)4w90y]H#,,,,,
art,xm{{sJ@B7c,,,,,
August,"x2,V?*)Lbb",,,,,
bad,mD@b||H=aL,,,,,
beautiful,p}IsS}Uh3.,,,,,
beer,Q@Onme<3G>,,,,,
big / large,K]t4f>]i(j,,,,,
black,"f9%,-~$1%I",,,,,
blind,lZ?r[DfRs-,,,,,
blood,"vj56pTn^,%",,,,,
blue,"M;1vbm%/,W",,,,,
breakfast,FDu0#W9k=b,,,,,
brown,X=v7>02P),,,,,
cheap,z3M628Sv`*,,,,,
clay,j2Tc]s23(D,,,,,
clean,eej(KZJN02,,,,,
coffee,ocHM.TT5+n,,,,,
cold,kPl.jGi$C&,,,,,
cool,EnD)x{V%A0,,,,,
copper,kN2PYaX4m7,,,,,
curved,tm>aq|f*C%,,,,,
dark,e{$ybM!jjA,,,,,
dark blue,"Ct|eX,Ky{1",,,,,
dead,u5Pk(fF<+X,,,adjective,adjective,
deaf,CJ4`Kw)>`1,,,,,
death,Oqs^Mr4Lng,,,noun,noun,
December,FC{(+s>3Ou,,,,,
deep,eT#E6B%Z/A,,,,,
diamond,D%Lj&@BUe|,,,,,
dinner,rlwLYd/9{T,,,,,
dirty,Q49<C]oR@.,,,,,
disease,Lf%ieLgH%s,,,,,
down,coe^Vme>D;,,,,,
dry,l?.3S/.b{y,,,,,
dust,y89C.aS:NF,,,,,
Earth,oxO{P)]x6S,,,,,
eight,Q(Vx7xFKW#,,,,,
eighteen,LR^cVr:_mm,,,,,
eighty,u~KdA247q%,,,,,
eighty-one,xzrW09HjzO,,,,,
eighty-two,u;o5q(juyf,,,,,
eleven,"y,[V~J^L;I",,,,,
energy,KIJ[pX|^7&,,,,,
exercise,g[yZ^H$cQh,,,,,
expensive,i5Eri;o%sU,,,,,
famous,l1th1-u$5E,,,,,
fast,EH7Izowo-d,,,,,
February,wOt7Kxvycl,,,,,
female,iR<Y9UN^Tm,,,,,
fifteen,n@nn2fpt~o,,,,,
fifth,BP&2/J|~#~,,,,,
fifty,HdT$lA/2!E,,,,,
fifty-one,tUZC+0`iTa,,,,,
fifty-two,EAPS*SuJ*z,,,,,
first,Kq0s=q>Z$n,,,,,
five,"q[D;QGjG,~",,,,,
flat,pKWr|~<_h_,,,,,
food,BGb>=oAA~h,,,,,
forty,JzXyfFzKD],,,,,
forty-one,"fJuOC]3e,|",,,,,
forty-two,qMf52!D5jN,,,,,
four,-%wTYHat<,,,,,
fourteen,sJk`1fj(G?,,,,,
fourth,h34_yLaR1g,,,,,
Friday,r3A[{+Btc,,,,,
glass [material],AA)sQNQBVO,,,,,
God,vRZ|}JDCW8,,,,,
gold,O<z(A^4:N1,,,,,
good,oI%Q8bX1X^,,,,,
gray,d7.@uL.G<r,,,,,
green,"pnHm1tC{,5",,,,,
happy,q;X3;qgCk<,,,,,
hard,Qvn1ipJbIk,,,,,
he,l0y(uTFdDb,,,,,
healthy,P*1F$1id:F,,,,,
heaven,F]o<.BG:U~,,,,,
heavy,AtJN+4_U/{,,,,,
hell,LhuY&0e(nS,,,,,
high,fmrL+8isy7,,,elevation,elevation,
hot,m.PeRfZ0Ni,,,,,
I,DWZfm=kKHk,,,,,
it,MnVFa~ULb%,,,,,
January,"G,AJ>unP+Z",,,,,
juice,wi:T+Xsu(K,,,,,
July,y~v@|k(?k+,,,,,
June,HLEw}`45lV,,,,,
left,Ej+g:v}]Vg,,,,,
