key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
alive,O*O&./G.yb,,,,,
April,Ap5S|a25;.,,,,,
art,HVG.r8;^xk,,,,,
August,gd0Cl0TN$W,,,,,
bad,B>8bjIQ.5P,,,,,
beautiful,O;fT^qGn~S,,,,,
beer,C4:gLtmID;,,,,,
big / large,B6tJ/5>3M-,,,,,
black,Kog:`E5u=%,,,,,
blind,g>7=$Q[Fj%,,,,,
blood,M9%!NgN+^n,,,,,
blue,J^rNl^A}6A,,,,,
breakfast,u%>/~XVm&9,,,,,
brown,D_/%:l.Sqn,,,,,
cheap,D57D(n_?Mq,,,,,
clay,o|clFtnYSX,,,,,
clean,eaZW}1/A:l,,,,,
coffee,B@)vw`[J@J,,,,,
cold,i0;?tO-]]H,,,,,
cool,OruX+V>G%q,,,,,
copper,na;?~A)dK;,,,,,
curved,iW8GXCkIf9,,,,,
dark,j$(#6;>_Lb,,,,,
dark blue,e8[~ps7J5*,,,,,
dead,"B,gC.5~l9e",,,adjective,adjective,
deaf,r{V%$4TRvs,,,,,
death,jq#}QTt5!O,,,noun,noun,
December,v+{!I$x1z{,,,,,
deep,tcmFE51%zE,,,,,
diamond,L]eO70#t@,,,,,
dinner,s0u?ac?q]J,,,,,
dirty,$pZmJ?6`~,,,,,
disease,pf!u&n1igO,,,,,
down,qy%#5Ik/!w,,,,,
dry,T__gMWvl:,,,,,
dust,Nn.@-}eh)T,,,,,
Earth,BuO%41]C3p,,,,,
eight (8),sy.h<}t#!8,,,,,
eighteen (18),F~g&}Z&~.[,,,,,
eighty (80),KNt&S#5~cK,,,,,
eighty-one (81),Kq8&#iUZEC,,,,,
eighty-two (82),jMBloGFB{H,,,,,
eleven (11),i]-6WO$!#J,,,,,
energy,rhsfZQ5YX[,,,,,
exercise,rVXyXD0{nN,,,,,
expensive,f7^C<RS{^`,,,,,
famous,wJb*Yo1rB%,,,,,
fast,Ey2gn=)dhs,,,,,
February,Gshc#JH>4|,,,,,
female,hU{jCkWHL&,,,,,
fifteen (15),cL4Uql8i.R,,,,,
fifth (5th),zCQ;}^DeaY,,,,,
fifty (50),B?]=>BT1#<,,,,,
fifty-one (51),Hg-Pldg^O&,,,,,
fifty-two (52),O8KiQX4(&,,,,,
first (1st),BU=L{S/22{,,,,,
five (5),K]L{Cd0]>,,,,,
flat,A(E-o%%&:7,,,,,
food,AY@Z}S=&R<,,,,,
forty (40),lm~xk4CU{v,,,,,
forty-one (41),fCK;@GsdTT,,,,,
forty-two (42),v@.>J!n}`#,,,,,
four (4),hYL9oHyT)T,,,,,
fourteen (14),Q[qg$&4L#6,,,,,
fourth (4th),B0joBvk0[0,,,,,
Friday,Ctxx!Sy8T(,,,,,
glass,Q(Co+[i1L<,,,,,
God,JYx5<.bGgV,,,,,
gold,NqdIMKxb/r,,,,,
good,qhBT9s`#gN,,,,,
gray,OobEzSw]Bg,,,,,
green,y5>M7L]bgb,,,,,
happy,w5<B{=18XE,,,,,
hard,nv92JrtlbM,,,,,
he,I3%brRf3/U,,,,,
healthy,zr)~<+T--G,,,,,
heaven,Lm>R}&)oB2,,,,,
heavy,BB-c4qqRP6,,,,,
hell,obJVMc!6uq,,,,,
high,dN<T@+&2b4,,,,,
hot,v*/H}0aL#g,,,,,
I,w-ki`lUR0i,,,,,
it,NX-y_&_tI5,,,,,
January,"K,Sf:8ivX?",,,,,
juice,L}nRvud~@o,,,,,
July,J@AE(Rw8ZA,,,,,
June,wMaKuEi{:I,,,,,
left,jrDD4vRsVI,,,,,
"light [opposite of ""dark""]",b=}WBK6RM*,brightness,,brightness,brightness,
"light [opposite of ""heavy""]",C_9:`1<gz},weight,,weight,weight,
light blue,IuB5f<V30M,,,,,
long,e.q==QOV/k,,,length,length,
loose,Id#pUOl($b,,,,,
loud,Pf0>[x}nWp,,,,,
low,wgY(=+[VEi,,,,,
lunch,P/Mt#UW7JM,,,,,
male,"e/{,},+5Dz",,,,,
March,wqB:*cPd<r,,,,,
marriage,m:d/iX~`?J,,,,,
material,m~X!I/@ppa,,,,,
May,g8>sR0*gQg,,,,,
mean,c2I1#`L$HG,,,,,
medicine,lLB?uhcy}h,,,,,
metal,L<dTsEB1f+,,,,,
milk,sQ_0[X_]M=,,,,,
Monday,"g1P}8&=o^,",,,,,
money,sq;gdx|^.M,,,,,
murder,cfyvHC}-f{,,,,,
music,v8<jerrfI9,,,,,
narrow,M+hV]%lYI|,,,,,
nature,i4UBs=TvyY,,,,,
new,eC_@hWybv<,,,,,
nice,pjoL9b:W0!,,,,,
nine (9),s;bhkO`|$u,,,,,
nineteen (19),D=3SjSIRG?,,,,,
ninety (90),d-~QJPR(xd,,,,,
ninety-one (91),xr9yMgm~U3,,,,,
ninety-two (92),t$K*MDeayC,,,,,
no,bLW=5ApbUj,,,,,
November,xMDFweXF5},,,,,
nuclear,i0K&fgf=VY,,,,,
October,G1_]Xe-QyA,,,,,
oil,yhm$M^Q_/k,,,,,
"old [opposite of ""new""]",mlzF*(F|YY,not recently made,,not new,not new,
"old [opposite of ""young""]",FsVZ?6S0R6,age of person,,age of person,age of person,
one (1),QdGNBAd|.e,,,,,
"one billion (1,000,000,000)",Gh+RGF_eTu,,,,,
one hundred (100),"I`B!-,B~3W",,,,,
one hundred eleven (111),C7BWqG8#s~,,,,,
one hundred one (101),xi_5F/gz|G,,,,,
one hundred ten (110),"F-=},h&N6X",,,,,
"one hundred thousand (100,000)",C^P(6kjpoS,,,,,
one hundred two (102),Py4bz?FZ/V,,,,,
"one million (1,000,000)",b]b)uT{(CB,,,,,
one thousand (1000),g5w&>HYLjw,,,,,
one thousand one (1001),hy{`oDSp91,,,,,
orange,c:1cW7!H8Y,,,,,
pain,mjEAjopiCV,,,,,
peace,D#)kXw;%u5,,,,,
pink,DaDNDG>85M,,,,,
plastic,hYX>s-!Cln,,,,,
poison,AQt&soD|x?,,,,,
poor,CfjR#*fKh@,,,,,
prison,Id_=.AR/%X,,,,,
quiet,xf()QHjUx!,,,,,
race [ethnicity],w3vBwhZ-$<,ethnic group,,,,
race [sport],cfm^Il9y-d,competition,,,,
red,Bd]2G<z;(8,,,,,
relationship,pI-Oo?hxcx,,,,,
religion,AemO3{__ZK,,,,,
rice,DQ&xw~.Z*u,,,,,
rich,G:LziPM!:Z,,,,,
right,gKjPCotloZ,,,,,
sad,Hrz}4A$9p^,,,,,
salt,IW4eMGiE:z,,,,,
Saturday,pgJjo.Li-&,,,,,
science,"P1{]dGQ!b,",,,,,
second (2nd),lok?$@.i^t,,,,,
September,O@)eJTX`b&,,,,,
seven (7),oOksB[]nT[,,,,,
seventeen (17),b?c=U)#(1D,,,,,
seventy (70),lFOS$KL};p,,,,,
seventy-one (71),Mlp|vyQ5Pz,,,,,
seventy-two (72),z-YwDNmwm,,,,,
sex [gender],"wx=T;MhKt,",male or female,,,,
sex [the act],rSXP%kyN|r,intercourse,,,,
