key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
alive,EX=(L-.x)e,,,,,
April,F_fBU;gmK+,,,,,
art,j=+/T)Y>~c,,,,,
August,"w,?eLCkg$^",,,,,
bad,K@t9smwaxR,,,,,
beautiful,"GECSXDn,-*",,,,,
beer,I`J0ky!rz@,,,,,
big / large,JE<q4?uw<Q,,,,,
black,C[tJt&KaHR,,,,,
blind,"ebE_oO6,=I",,,,,
blood,BUwa/umx!8,,,,,
blue,MHV#h1e}8R,,,,,
breakfast,jdZ.2lQeaH,,,,,
brown,J47M6Pp-gb,,,,,
cheap,L]I9`!dJ~&,,,,,
clay,n.|=Pc.w+B,,,,,
clean,w.y/[_$wOR,,,,,
coffee,N~!{Q](fBo,,,,,
cold,"A,ipSJinGN",,,,,
cool,"boN,LpFpKC",,,,,
copper,LDj&fY]c78,,,,,
curved,Bhs=6CXDF<,,,,,
dark,u)Z(y1(ASQ,,,,,
dark blue,c%?#VIV53_,,,,,
dead,Hi*iyktrmd,,,,,
deaf,M5I}ng]Q)Q,,,,,
death,tGW6M7k%lO,,,,,
December,ql?m9yUu]i,,,,,
deep,P{D~tnJ5<H,,,,,
diamond,h*DSRrF9g7,,,,,
dinner,H(eQ1}ba8o,,,evening meal,evening meal,
dirty,Or(9(dKLP0,,,,,
disease,l^5g}<)<8t,,,,,
down,fwMVcF4ozk,,,,,
dry,z+}BE)I`)x,,,,,
dust,bYnN]wUdt=,,,,,
Earth,o6zz<(k)#5,,,,,
eight (8),I[W-4yZ^}8,,,,,
eighteen (18),Dp$*CxC;LG,,,,,
eighty (80),ly?8RcDMP{,,,,,
eighty-one (81),Qvy#hKFH&!,,,,,
eighty-two (82),fL+-pwBsbs,,,,,
eleven (11),BO1*=LrJV>,,,,,
energy,"MUleGq^XU,",,,,,
exercise,fI]D^R>q=i,,,,,
expensive,"P7MH[2,AK5",,,,,
famous,wafCs:9w4i,,,,,
fast,w8]%?ywHEF,,,,,
February,r1`|P1Sy_{,,,,,
female,Hc;47m>r/),,,,,
fifteen (15),JIlQogX_K,,,,,
fifth (5th),A]tffoQd--,,,,,
fifty (50),LnP8Hp7G=N,,,,,
fifty-one (51),t{-dj%HL{_,,,,,
fifty-two (52),D+P]kWK-F2,,,,,
first (1st),u3y(92N4}!,,,,,
five (5),o~MIjEzW?N,,,,,
flat,fR$zrgwn.M,,,,,
food,DOwjwFiQ*m,,,,,
forty (40),GR$h+WjM~7,,,,,
forty-one (41),NTC33IwJew,,,,,
forty-two (42),BxHlfkNRW7,,,,,
four (4),w0<`I7{csv,,,,,
fourteen (14),OizDrJ:pjC,,,,,
fourth (4th),boAQamDW@5,,,,,
Friday,CNstA;vyfl,,,,,
glass [material],P6(Y(/U=x&,,,,,
God,HNuu&|jdvK,,,,,
gold,j1gnTOjn4),,,,,
good,JMwn/<K~UD,,,,,
gray,h9Jd&{TXD5,,,,,
green,J:pA3|VBp4,,,,,
happy,uxrj|46~hl,,,,,
hard,yrr{7jOlpV,,,,,
he,"BLz<%=X[,K",,,,,
healthy,i^WOy1!|U<,,,,,
heaven,A]r?tnZl$Y,,,,,
heavy,v^lQ-};4*Z,,,,,
hell,Dfhk8Hs!Ps,,,,,
high,eYA=mKHx7@,,,elevation,elevation,
hot,j=|xqXz8*k,,,,,
I,B6QrS]0JdG,,,,,
it,wD@9O3fa&!,,,,,
January,6u:ixm4<w,,,,,
juice,x@I).XtS$^,,,,,
July,Ht*mympuO/,,,,,
June,IAHg+J[T0v,,,,,
left,QgP*39$*iY,,,,,
"light [opposite of ""dark""]","f,n;Y``DX.",brightness,,,,
"light [opposite of ""heavy""]","j=x,pcx%0`",weight,,,,
light blue,cOb%t=h~#v,,,,,
long,"AZC,hbQ6Z^",,,,,
loose,"k7v,3[Oul&",,,,,
loud,C2nf4/$)s&,,,,,
low,g&vZ?Zw@9{,,,low position,low position,
lunch,n_%/u!e_H6,,,midday meal,midday meal,
male,KF)LJ@S%fp,,,,,
March,tdH;E.IcnD,,,,,
marriage,f4YD=U8AeJ,,,,,
material,Q#5@9GA!3v,,,,,
May,j+:{G4Id&j,,,,,
mean,beu[688cO],,,,,
medicine,ko`}:95?e*,,,,,
metal,B>W]Qr[87;,,,,,
milk,Nua=2ol:3S,,,,,
Monday,mVu~D)>50),,,,,
money,Ia{8&9Z4fE,,,,,
murder,CjGhz[qna8,,,,,
music,"p]60%j,daW",,,,,
narrow,kkx*`:za;x,,,,,
nature,nvPNYL8Q^_,,,,,
new,ESRL.S%Q+n,,,,,
nice,AP[VY{{NLD,,,,,
nine (9),j>#;4H#IS|,,,,,
