key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
alive,OwPE-GuS=H,,,,,
April,IJs>Y=;sQB,,,,,
art,T5/>%c&H7,,,,,
August,e>c3C%{It?,,,,,
bad,Qj8`Qy(+_F,,,,,
beautiful,K#IP/bu1C`,,,,,
beer,m7aX[.[^s(,,,,,
big / large,;]pG<9<Oo,,,,,
black,CC%W<+EYc),,,,,
blind,H3PIPUtgDS,,,,,
blood,A9)2xxITL],,,,,
blue,sxXTH!8k_k,,,,,
breakfast,Dk+OGGi4Ag,,,the meal,the meal,
brown,C.Fm<QA7dd,,,,,
cheap,H+h}Df5)t*,,,,,
clay,p@E0>&WF)z,,,,,
clean,yS~jtIqu2g,,,,,
coffee,L:Bk5<nEOr,,,,,
cold,L|31kSu!H<,,,,,
cool,QbsI$400Y>,,,,,
copper,KRtDxyB.%L,,,,,
curved,g)SrcXSU(I,,,,,
dark,h.e>vq]R6U,,,,,
dark blue,q@^l;0ZbT(,,,,,
dead,Qc|krrMBi{,,,,,
deaf,"jwDW{bOeJ,",,,,,
death,Jpw*HLEM%5,,,,,
December,BE)UvI|bwt,,,,,
deep,p[F}_#H:P3,,,,,
diamond,B*:2I+OvJ&,,,,,
dinner,AjE~`9InQv,,,,,
dirty,"Q,VIey{kkE",,,,,
disease,u12Q_:cEmA,,,,,
down,le.4L@OiUY,,,,,
dry,cHl;8t&ceo,,,,,
dust,O|*V>(;?G.,,,,,
Earth,"D,Lw>U`Iil",,,,,
eight (8),B1IgfSoL|9,,,,,
eighteen (18),N=P;[7z&JX,,,,,
eighty (80),si8wc3wUxV,,,,,
eighty-one (81),lKfdKI3dgz,,,,,
eighty-two (82),dTfu2b2*yq,,,,,
eleven (11),g=|x1P4:}P,,,,,
energy,hAc?q$t[k~,,,,,
exercise,L1?V2T&LW7,,,,,
expensive,I}jX|i<Dw6,,,,,
famous,w(Oh[n3sC,,,,,
fast,sDo%}Yo;v>,,,,,
February,wD<Vw|ex$r,,,,,
female,IcBK!&)y?m,,,,,
fifteen (15),bj9PH!9O{U,,,,,
fifth (5th),HbaZ9d3XD],,,,,
fifty (50),MgtrBU!pNX,,,,,
fifty-one (51),B[rHv$lGtv,,,,,
fifty-two (52),E<S#FvTp_+,,,,,
first (1st),pO%Lx`vj_5,,,,,
five (5),mX<iI-~q`$,,,,,
flat,iLt?~9e3bc,,,,,
food,G`B?5+bF>[,,,,,
forty (40),KI3O(2A~XJ,,,,,
forty-one (41),uPvA_9llHx,,,,,
forty-two (42),"N`W1!h,29,",,,,,
four (4),Dc+Q?[51@/,,,,,
fourteen (14),il>]*:c*X-,,,,,
fourth (4th),kN4s]J/c/=,,,,,
Friday,IA%fl)U|92,,,,,
glass,xp+d!@0r>1,,,,,
God,Q%4dp)l>@V,,,,,
gold,n-S%nlb;:J,,,,,
good,Mr@xIaE-8b,,,,,
gray,bw?y@Q*CZp,,,,,
green,bizzI@LM?X,,,,,
happy,H1AygZ*/g+,,,,,
hard,qho7@JZ3az,,,not soft,not soft,
he,vVbe?#I;<W,,,male person,male person,
healthy,CcJh0%H{$K,,,,,
heaven,"Gz,dR)|VC~",,,,,
heavy,xSt%xhN{Ys,,,,,
hell,B1A$PoE{Cn,,,,,
high,"A(VtxJ,HCU",,,,,
hot,d[XKaC3hCQ,,,,,
I,nmsDnEm6PU,,,,,
it,"PSA{,Xwh6C",,,object,object,
January,IEJ1=zl]Y%,,,,,
juice,He4>mpcL7m,,,,,
July,d$Muj!x;A>,,,,,
June,ki9Kz.$3q=,,,,,
left,MLIjT&:@N{,,,,,
"light [opposite of ""dark""]",DG&GF@^2fy,brightness,,,,
"light [opposite of ""heavy""]",Pyjg#%ly|],weight,,,,
light blue,d3jA]gpcB5,,,,,
long,vg4sVHAVlW,,,length,length,
loose,Ka!V@0UFb9,,,,,
loud,MkT)qH]r=R,,,,,
low,Fz=m5p6J@A,,,low position,low position,
lunch,eT8YLE.hyN,,,,,
male,B~*jcK+f@V,,,,,
March,Ej`#H2m:G,,,,,
marriage,ouE_=D*-l+,,,,,
material,lGR(z]x+pN,,,,,
May,jC0s?)BQ2|,,,,,
mean,mBGGt($^&E,,,,,
medicine,r):.cLxjy.,,,,,
metal,JCmw^T>%~),,,,,
milk,k5(oc}|8?+,,,,,
Monday,F*q8A^}GPf,,,,,
money,v:CxkeLj?^,,,,,
murder,tvNbh^Lr=I,,,,,
music,Ofo50x7=(,,,,,
narrow,t=!80w9Ung,,,not wide,not wide,
nature,A(p[EKf=%p,,,,,
new,jwzQIq;qeT,,,not old object,not old object,
nice,x)C:M*KW*&,,,,,
nine (9),"i-@H|,A5*:",,,,,
nineteen (19),szi?~tcaeu,,,,,
ninety (90),pa*S`/9_C7,,,,,
ninety-one (91),u[QSl*N!4B,,,,,
ninety-two (92),NH%oc2HZ#,,,,,
no,j.&9$/:8(;,,,,,
November,H(]-6&~bj6,,,,,
nuclear,DXPEfZ!rbb,,,,,
October,e59sE%pBT+,,,,,
oil,KeQz.Q3$x7,,,,,
"old [opposite of ""new""]",v1.YBae3rh,not recently made,,,,
"old [opposite of ""young""]",x%o@{|3z?q,age of person,,,,
one (1),m_1SFGww+I,,,,,
"one billion (1,000,000,000)",v@ns&qPIbY,,,,,
one hundred (100),AG{VkntV{~,,,,,
one hundred eleven (111),Chi5a[A!M^,,,,,
one hundred one (101),wpZt<C@#qE,,,,,
one hundred ten (110),EjhpgWuDp%,,,,,
"one hundred thousand (100,000)",NVqANz+&u[,,,,,
one hundred two (102),hmwsBKlZoL,,,,,
"one million (1,000,000)",k-?Rl*}fTp,,,,,
one thousand (1000),o{`<F&ALNG,,,,,
one thousand one (1001),Dtw-rQ4&Rr,,,,,
orange,nH4K_I&ieF,,,the color,the color,
pain,sJ.?4e@|wp,,,,,
peace,"Q,JuQtUZp>",,,,,
pink,hNFIxI6}dq,,,,,
plastic,e}=Yg&46x2,,,,,
poison,baT<!EO:oZ,,,,,
poor,ziWqnpj)Rm,,,,,
prison,w_kEizw%wB,,,,,
quiet,zI~K2@8Tyj,,,,,
race [ethnicity],H.pRrMbcS7,ethnic group,,,,
race [sport],G:WO@Q]FJ$,competition,,,,
red,o1^Lg]izZm,,,,,
relationship,wn@x9TZF0O,,,,,
religion,DGN~yzj)/8,,,,,
rice,"szs+ztn;`,",,,,,
rich,Fyv18NJ<N#,,,,,
right,QUCOPS#>a-,,,,,
sad,oJO&F_pgc:,,,,,
salt,k6B=)wH{WU,,,,,
Saturday,g*?5~9JdSI,,,,,
science,JYl<`8G4dx,,,,,
second (2nd),Q05>4-^qx~,,,,,
September,LyI#R!U31q,,,,,
seven (7),O`~u*J%6.D,,,,,
seventeen (17),C.zSO0CP!U,,,,,
seventy (70),Qm|<H$t)MG,,,,,
seventy-one (71),"u_T>Gl~,06",,,,,
seventy-two (72),m`tY@X<V7-,,,,,
sex [gender],J`Ysj#HZt:,male or female,,,,
sex [the act],cAbgl-_vRY,intercourse,,,,
shallow,pC(fI]lHl=,,,,,
she,k[=JdCr5$Q,,,,,
"short [opposite of ""long""]","QW,v#%`Sm8",length,,,,
"short [opposite of ""tall""]",ij!CdS!>t0,height,,short height,short height,
sick,vi$wMkxsT9,,,,,
silver,lx-a4wAHq<,,,,,
six (6),bkyB<C*kSw,,,,,
sixteen (16),v[`]w*=%I^,,,,,
sixty (60),x/9_Bz>>l@,,,,,
sixty-one (61),k~/cDRF0s2,,,,,
sixty-two (62),tZJoP8_W`D,,,,,
slow,o@O[m!}{pj,,,,,
small / little,ECXmCdvw/[,,,,,
soft,ecC[rj5mL9,,,,,
soil/earth [ground],"CzhkQyd,1{",dirt,,,,
space (outer space),odGZG)d`-h,,,,,
sport,dRqV)&7TVR,,,,,
stone,hu@|QrQ^oN,,,,,
straight,f!DcHzsllP,,,,,
strong,d.j?$/QX{N,,,powerful,powerful,
sugar,uWI+@Mt6*-,,,,,
Sunday,fH;Ch}fu:v,,,,,
sweat,KdyUARLFjm,,,,,
tall,fmtwu=o-*F,,,height of person,height of person,
tea,mj`!zb^n%?,,,,,
technology,fRtpT1z[l(,,,,,
temperature,CR*[fFQF*-,,,,,
ten (10),J%<*!FP(@s,,,,,
"ten thousand (10,000)",svd*-mj~X),,,,,
the (train) ticket,hV;r_dX%?V,,,,,
the actor,y2/oZCtAdQ,,,,,
the adjective,qpyZrnhebj,,,,,
the adult,KxILIXyqQd,,,,,
the afternoon,gS]yd!*tZB,,,,,
the air,I`Ai^[OLP|,,,,,
the airport,FuPi2|hG:G,,,,,
the animal,zEN>XissV?,,,,,
the apartment,dC{*%sPKdz,,,,,
the apple,M8m;UK!<g:,,,,,
the arm,y`QyUu_S>&,,,body part,body part,
the army,gcPum<Hmmp,,,,,
the artist,AR{n@hM6u6,,,,,
the attack,e_rMNSxmn>,,,,,
the author,i9H3?c$m5#,,,,,
the baby,OLTz3XL6Wb,,,,,
the back [anatomy],bOV>C4*_O0,body part,,,,
the back [location],DXV/>{BC&y,behind,,,,
the bag,DE]JIE*X>W,,,,,
the ball,PanI%i.@}X,,,,,
the banana,F<F97l;yB2,,,,,
the band [music],JZLj!h^}*o,musical group,,,,
the bank,"Af=k,ySSo)",,,,,
the bar,yQ1dNx3A@M,,,,,
the bathroom,MlTXV]Sgu;,,,,,
the beach,DXTQ/Os6L},,,,,
the beard,mArc)mY1^!,,,,,
the bed,d+Z-LD9H1],,,,,
the bedroom,Nfn^[C%.Cu,,,,,
the beef,JJVjUs?R~+,,,,,
the beverage,u~yd$h!{D<,,,,,
the bicycle,weU)}*qW-C,,,,,
the bill [bank note],"nA?W,v|QX",money,,,,
the bird,c}*Syp(|0O,,,,,
the boat,s.]W~3tPpd,,,,,
the body,i[#E3#k~Z.,,,,,
the bone,ElLFDC7NfF,,,,,
the book,oId|7)A!=W,,,,,
the bottle,sG[%rr}74l,,,,,
the bottom,pF58`~Vux=,,,lowest part,lowest part,
the box,NX:wes|EJI,,,,,
the boy,NQK$ES(:f@,,,young male,young male,
the brain,L.1VX.lB>9,,,,,
the bread,m2M}H23m9?,,,,,
the bridge,wc!PNEwmYM,,,,,
the brother,N{f%64=7L],,,,,
the building,NOH=qO1>U9,,,,,
the bus,u3kJtVT|oS,,,,,
