key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
the car,Eh8(XcwnIe,,,,,
Earth,"D,Lw>U`Iil",,,,,
the dog,IuYq1P>302,,,,,
the cat,dH$O(!y.lH,,,,,
the fish,Fy;eZN22c8,,,,,
the bird,c}*Syp(|0O,,,,,
the cow,kG{%{A.uXA,,,,,
the pig,oZXaNP(Kkf,,,,,
the mouse,Alu*vWu_}Z,,,,,
the horse,P2WAArLG:q,,,,,
the wing,"w(m,;Uky=4",,,,,
the animal,zEN>XissV?,,,,,
the train,CS2:rsgD>W,,,,,
the plane,GHdLEfy/{P,,,,,
the truck,GPhcv!TsiB,,,,,
the bicycle,weU)}*qW-C,,,,,
the bus,u3kJtVT|oS,,,,,
the boat,s.]W~3tPpd,,,,,
the ship,"A/S@[,t$jL",,,,,
the tire,odJK<9>7b7,,,,,
the gasoline,d7XGxXs@^1,,,,,
the engine,P~nd^}`O79,,,,,
the (train) ticket,hV;r_dX%?V,,,,,
transportation,BD0&1BCv8=,,,,,
the city,N~rexaX]Cu,,,,,
the house,jbx8Dq>8G.,,,,,
the apartment,dC{*%sPKdz,,,,,
the street/road,"bMGOt#cs,l",,,,,
the airport,FuPi2|hG:G,,,,,
the train station,v6lq/k*ID2,,,,,
the bridge,wc!PNEwmYM,,,,,
the hotel,d=s)iqnv{O,,,,,
the restaurant,cyDK[{%Di),,,,,
the farm,PUXHC!5909,,,,,
the court,eU<&vrM+M.,,,,,
the school,oFSlN}}bb!,,,,,
the office,b/nZ7[W`WK,,,,,
the room,H^QBgW{ger,,,,,
the town,H37#<GM3]v,,,,,
the university,QY]zp=4/cQ,,,,,
the club,zE!]%!IG$d,,,,,
the bar,yQ1dNx3A@M,,,,,
the park,"y}u7P,T|VT",,,,,
the camp,qy@(^^G_$_,,,,,
the store/shop,r)`AqDpVCf,,,,,
the theater,g>z~X`>Jj!,,,,,
the library,J{iUF@f6D;,,,,,
the hospital,fT1D3b[tD/,,,,,
the church,jkDNAbKJGO,,,,,
the market,k}cFMOt[IG,,,,,
"the country (USA, France, etc.)",e37FYeUzm1,,,,,
the building,NOH=qO1>U9,,,,,
the ground,"b=,Y{jQP?c",,,,,
space (outer space),odGZG)d`-h,,,,,
the bank,"Af=k,ySSo)",,,,,
the location,dFGtw.h6>_,,,,,
the hat,qPP^e+Kh?D,,,,,
the dress,kodRD{2kw2,,,,,
the suit,c<vMq_4%vt,,,,,
the skirt,"eZ,sEEQhS<",,,,,
the shirt,q*=WE(PRB%,,,,,
the T-shirt,c$Y0*HuhRf,,,,,
the pants,A1hRg0CO%W,,,,,
the shoes,n[+a1ha6ae,,,,,
the pocket,"l6&=Yb,-NB",,,,,
the coat,L#`/~)qrDC,,,,,
the stain,Mk73m/w)~R,,,,,
the clothing,BR1#)%x%U.,,,,,
red,o1^Lg]izZm,,,,,
green,bizzI@LM?X,,,,,
blue,sxXTH!8k_k,,,,,
light blue,d3jA]gpcB5,,,,,
dark blue,q@^l;0ZbT(,,,,,
yellow,iEowun&d)#,,,,,
brown,C.Fm<QA7dd,,,,,
