key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
alive,J$b|Vei^ni,,,,,
April,n0970)Yi]J,,,,,
art,e.KS>yKbX#,,,,,
August,l)+L-zO.(c,,,,,
bad,EgX*Ncj/#;,,,,,
beautiful,A}90lp?|Y;,,,,,
beer,NBjE#|Mp-S,,,,,
big / large,NdBX~77xj,,,,,
black,"zyY5,4_3,u",,,,,
blind,K@+}VDL!$S,,,,,
blood,QOLyeS&GU],,,,,
blue,t&Odr<;3J|,,,,,
breakfast,u4FzL#7e0F,,,,,
brown,ked9Jv9Q:R,,,,,
cheap,mi#G*0$EGZ,,,,,
clay,"EhcZ:;d,MY",,,,,
clean,N_X2`->M7v,,,,,
coffee,O.<MABDLSH,,,,,
cold,uNvd7GiSK;,,,,,
cool,MvC_op%SJ$,,,,,
copper,"rf-^Y:r,ud",,,,,
curved,bTs32sO8xL,,,,,
dark,yk/SSC~fA0,,,,,
dark blue,sXW.Cp1yO5,,,,,
dead,wPxun(@;hv,,,,,
deaf,D^v;2Cz8}f,,,,,
death,p$eJW*j9)$,,,,,
December,I~A>%A:pP?,,,,,
deep,J/(cP>iK*Y,,,,,
diamond,wlY^n[!NP~,,,,,
dinner,%Jr|F8S&B,,,,,
dirty,yg1EIi%:k|,,,,,
disease,QPkxU8Lv<G,,,,,
down,kpl=5EG[9F,,,,,
dry,lhu)ntJ<o;,,,,,
dust,vUL{Rk9aU!,,,,,
Earth,nPlW(]B)KR,,,,,
eight (8),zP|Y;yG%SV,,,,,
eighteen (18),H)W_`JXw:F,,,,,
eighty (80),GW:M>2;<C,,,,,
eighty-one (81),KBGX|hgU6:,,,,,
eighty-two (82),e4/K/WIDS7,,,,,
eleven (11),O|RL8/|$RK,,,,,
energy,LR#&t|w>o7,,,,,
exercise,rYY5|m;[EW,,,,,
expensive,zb]oWe@h2^,,,,,
famous,x/=$8&+F=i,,,,,
fast,piyH{<@z<J,,,,,
February,w8za_V1**W,,,,,
female,yv2O}zU(_c,,,,,
fifteen (15),jJ6DQkXw9s,,,,,
fifth (5th),x[(czeo?(`,,,,,
fifty (50),c/8HQ<11o~,,,,,
fifty-one (51),D!DU&?sO9H,,,,,
fifty-two (52),P)4b|sAVu-,,,,,
first (1st),k66yj^B`jj,,,,,
five (5),f``OpM/Mn@,,,,,
flat,gdnum4sd34,,,,,
food,lw@9z=P{(`,,,,,
forty (40),qdkeZv&?3M,,,,,
forty-one (41),fbH%rVn<^p,,,,,
forty-two (42),APmEVFx#>`,,,,,
four (4),Bd~T7}Y2;I,,,,,
fourteen (14),J|8hK1@2m-,,,,,
fourth (4th),HDzH>8t{;F,,,,,
Friday,u1q(P(Hf]i,,,,,
glass [material],;PvIVlON/,,,,,
God,Bbs_1+.(YV,,,,,
gold,IAEN+23Ew_,,,,,
good,L++h@V%DaM,,,,,
gray,o`hU$n<ODL,,,,,
green,CU&3]Kk]#e,,,,,
happy,m{XFjL^@@S,,,,,
hard,O/1C<mj$GU,,,,,
he,O6Sc.|^##_,,,,,
healthy,lS1*@9/A1u,,,,,
heaven,y&P5D`kpP!,,,,,
heavy,G1+R30gB1C,,,,,
hell,sVJh.7|(3S,,,,,
high,G/$@YRi@qB,,,,,
hot,iS~w!^!~A1,,,,,
I,z|U|X0&cOR,,,,,
it,"wp/,fm3C/C",,,,,
January,nFZlnw)12J,,,,,
juice,2(9&mXr:C,,,,,
July,mHgzt%-hfi,,,,,
June,g_T%[vOea/,,,,,
left,"D`T(H,[*Qt",,,,,
"light [opposite of ""dark""]",OloD;u%v{~,brightness,,,,
"light [opposite of ""heavy""]",u(eZI-d3G0,weight,,,,
light blue,H/t?(v]og^,,,,,
long,o;J:`g[1&t,,,,,
loose,Hoo=Q:rfjK,,,,,
loud,Q47/5KDMv>,,,,,
low,ns0Bo}cDX|,,,,,
lunch,Fv!+_SMJ+W,,,,,
male,w*LlBeX[X`,,,,,
March,u1mlp;1F}|,,,,,
marriage,fDOF`aPFC<,,,,,
material,sQPMlWQQnm,,,,,
May,IV^*i#eebf,,,,,
mean,"fRs,.W/<tG",,,,,
medicine,NCyT.y|>/_,,,,,
metal,d*T3|c!iGc,,,,,
milk,fCP5*tp4Y1,,,,,
Monday,n[N|%sg+y&,,,,,
money,sv_g&lUco~,,,,,
murder,q(hK|AoNFO,,,,,
music,yaORQpauG0,,,,,
narrow,"gEp,IUDjp~",,,,,
nature,B}Oq<8H(5=,,,,,
new,C%#mOlZ5p{,,,,,
nice,b/~U`QsI_E,,,,,
nine (9),x^.1}l#viG,,,,,
nineteen (19),yaT_T&3&D>,,,,,
ninety (90),q-j]{RLRf9,,,,,
ninety-one (91),MRD=oY?I/X,,,,,
ninety-two (92),"JT]}!W,Hk8",,,,,
no,Jgm/G4Rl0-,,,,,
November,ua=4.kNST$,,,,,
nuclear,sVr<m&?{Nj,,,,,
October,tV|r];IA0q,,,,,
oil,y0qmLF^vDZ,,,,,
"old [opposite of ""new""]",Ek&;I_Gg8s,not recently made,,,,
"old [opposite of ""young""]",v)SyOh1SNs,age of person,,,,
one (1),"k4TIpW5Z,]",,,,,
"one billion (1,000,000,000)","QA$,1+@?Ay",,,,,
one hundred (100),LZxrl^9&R!,,,,,
one hundred eleven (111),"mh6g,)H2>3",,,,,
one hundred one (101),Lij?z{brT7,,,,,
one hundred ten (110),NV8!ahoNvv,,,,,
"one hundred thousand (100,000)","kK,ww6Fh=z",,,,,
one hundred two (102),OjSaizdnD=,,,,,
"one million (1,000,000)",lo>_A#1msY,,,,,
one thousand (1000),"s(R4eis8,l",,,,,
one thousand one (1001),b8GIH&(PP~,,,,,
orange,gX[gab5M!=,,,,,
pain,xTtDCiYTb>,,,,,
peace,"ja_v,uk8O&",,,,,
pink,sxN9bg**RV,,,,,
plastic,l/*2;CCFLM,,,,,
poison,E02@-mho}),,,,,
poor,21.oKy+xw,,,,,
prison,gIUhM+bpvK,,,,,
quiet,c~EjY]tF_B,,,,,
race [ethnicity],P$x-^>=;#h,ethnic group,,,,
race [sport],s8zs4b}SYx,competition,,,,
red,Plv%GU]jUp,,,,,
relationship,ox34Oz[}}o,,,,,
religion,yuwG<QhLS5,,,,,
rice,m>).UyTSDS,,,,,
rich,q)JUfOsHCb,,,,,
right [direction],"Fx,WhD<T*&",,,,,
sad,wezJ>V8j}=,,,,,
salt,bq%*zg9#9R,,,,,
Saturday,xDtOh/wpgF,,,,,
science,N@8aK_3%&A,,,,,
second (2nd),dv$N1|vCFH,,,,,
September,H2QKAZUuMw,,,,,
seven (7),A6JRqpYT$$,,,,,
seventeen (17),s1}5DNP&%%,,,,,
seventy (70),"hGD97],N>*",,,,,
seventy-one (71),J3L=CqLMG$,,,,,
seventy-two (72),c!O`:8~;yI,,,,,
sex [gender],v[aUmFM2=q,male or female,,,,
sex [the act],t|d]n0m6El,intercourse,,,,
shallow,m:f$Fr+[+-,,,,,
she,o5|3rZ}uXy,,,,,
"short [opposite of ""long""]",BZwT{CV>M@,length,,,,
"short [opposite of ""tall""]","Bys{1,6aSD",height,,,,
sick,wPAx`N(qmN,,,,,
silver,NP?WDNO;>r,,,,,
six (6),AGwky2_$;Z,,,,,
sixteen (16),g3|PAm0g](,,,,,
sixty (60),hO775=wopX,,,,,
sixty-one (61),PJAFH[$$kk,,,,,
sixty-two (62),O6=<Lep?vH,,,,,
slow,Qr+GyCB@Lc,,,,,
small / little,scGuqz|vo2,,,,,
soft,EX0-1@:Tea,,,,,
soil/earth [ground],"d4,J]FY{hs",,,,,
space (outer space),pN=Sj;#s%e,,,,,
sport,pfd3@0_8CT,,,,,
stone,E`FYXcF8a),,,,,
straight,"sN(B#~,MaQ",,,,,
strong,j(toK(.CB>,,,,,
sugar,ymSuHtSV-B,,,,,
Sunday,MI{~L)#zDs,,,,,
sweat,iMi<5%wLG&,,,,,
tall,DSQ`nEhb!e,,,,,
tea,e=1N(!B:[s,,,,,
technology,QX4EBfTd@b,,,,,
temperature,"b6,:/hk<!2",,,,,
ten (10),sP=4TH.AfE,,,,,
"ten thousand (10,000)",f[yIfN:~xB,,,,,
the (train) ticket,suRh{KRVfc,,,,,
the actor,FvV7p!&OXv,,,,,
the adjective,g%(2@ABv%z,,,,,
the adult,w0YYb}82t[,,,,,
the afternoon,Q?f9<x.)0o,,,,,
the air,J0<lUrh_T6,,,,,
the airport,tlw03gIh-R,,,,,
the animal,w%~ixV/;gn,,,,,
the apartment,zpu[qrfDn-,,,,,
the apple,h488.6uFV-,,,,,
the arm,GEWF6k&U2u,,,,,
the army,flyeB!&4If,,,,,
the artist,F2>~Cup>cw,,,,,
the attack,cW3Sdz^^7h,,,,,
the author,Je(S5PuOIU,,,,,
the baby,"bX>v,mbd+O",,,,,
the back [anatomy],"l@IN@]P,I/",body part,,,,
the back [location],c3gb~@dcW;,behind,,,,
the bag,"qKlV,]c}/?",,,,,
the ball,D8h?Pmx?o,,,,,
the banana,yK[_$V&O53,,,,,
the band [music],"p~-ayiv,F]",,,,,
the bank,z%TK!uMB|%,,,,,
the bar,JTk/C?v7xG,,,,,
the bathroom,bw<AJ?)5i{,,,,,
the beach,lj2Z|S5$tv,,,,,
the beard,sAlC?28ixb,,,,,
the bed,u~&5_J]iDC,,,,,
the bedroom,LVMB[/-_g(,,,,,
the beef,M_#Udt897G,,,,,
the beverage,oU4$dwlCPd,,,,,
the bicycle,A<vHD~bK{Q,,,,,
the bill [bank note],QoS^REN.u9,,,,,
the bird,uH`W&sge0o,,,,,
the boat,oC-#{pBGtw,,,,,
the body,GU>X5Izt5=,,,,,
the bone,CE!p<i4C:1,,,,,
the book,OJ1*@t6~}$,,,,,
the bottle,B14QFD;#$Y,,,,,
the bottom,bA*OC{wXsa,,,,,
the box,Hs=ATKDJkp,,,,,
the boy,"dX}>_y,c=f",,,,,
the brain,eWbYwh#3g+,,,,,
the bread,CnU<le9Qp3,,,,,
the bridge,Ckc>&z?Cb@,,,,,
the brother,ufCy(P5-dd,,,,,
the building,e881>T3pX1,,,,,
the bus,L]1cDRR3iO,,,,,
the cake,p~vRmzcr/t,,,,,
the camera,"yoT>8P`,A8",,,,,
the camp,AFoJm?M.nF,,,,,
the car,HI6|W1:h*},,,,,
the card,Oe[mokR[Ob,,,,,
the cat,z<YGPsycBu,,,,,
the ceiling,e&I`^c[xHA,,,,,
the cell phone,i1*.4/~p.:,,,,,
the centimeter,vM}f&f1zEc,,,,,
the chair,CLR]McRSk^,,,,,
the cheese,C1G*Rh~$BG,,,,,
the chicken,uc=[;VpdeF,,,,,
the child,EOC{3FMbyk,,,,,
the church,Jg0W:]V[e|,,,,,
the circle,yYQVS{?26@,,,,,
the city,D6Q~(Q{K+F,,,,,
the clock,GYqlnHsBy5,,,,,
the clothing,l2@(Pa`08F,,,,,
the club,K)Pd/wUJM6,,,,,
the coat,h>T-%B<5+6,,,,,
the color,j]Z6S(XiX},,,,,
the computer,sOGf+@`P][,,,,,
the consonant,G^qV<8NyQ2,,,,,
the contract,J.PJni-P$^,,,,,
the corn,D)RKf=ztm},,,,,
the corner,q.$%~~`gtb,,,,,
"the country (USA, France, etc.)",d|wbutvl!],,,,,
the court,Dj12TYM/pi,,,,,
the cow,qe<AYK]V}/,,,,,
the crowd,"DWSs`,h-q*",,,,,
the cup,v|SXi#2fOR,,,,,
the date,xMj&$y0F@e,,,,,
the daughter,hK?!s!:PP4,,,,,
the day,s]1f-b.UlG,,,,,
the direction,"d[m,[Q%2ka",,,,,
the doctor,Eli0W[uy2L,,,,,
the dog,"KTHHTC,f1%",,,,,
the dollar,FgIodwPFk8,,,,,
the door,P}%$`Rcj7s,,,,,
the dot,OCb<d2*2n^,,,,,
the dream,B^4wDKUp/[,,,,,
the dress,nju^S!=DQ|,,,,,
the drug,"QK^,[>-N0,",,,,,
the ear,IS_Tzz#0re,,,,,
the east,nj/U/:lLV),,,,,
the edge,t~LC;.hf<S,,,,,
the egg,JXjJCGVDn^,,,,,
the election,rZ6;`:kpWS,,,,,
the engine,EG3a$f/Fvj,,,,,
the evening,DTjk&~jS]x,,,,,
the eye,LD)W[/n!4C,,,,,
the face,tl8+b|*1Xt,,,,,
the Fall,opo/*kSV1r,,,,,
the family,A+.c4z4EXR,,,,,
the fan [appliance],e!j]0p;1Hm,cooling device,,,,
the fan [person],t98@G76LHI,admirer,,,,
the farm,"Q4$i1L-,hj",,,,,
the father,df:3%!gwsy,,,,,
the finger,D>J):rM*_m,,,,,
the fire,PKZ1|c.fcY,,,,,
the fish,b;PRnYQy]9,,,,,
the floor,OV.s$dCH9W,,,,,
the flower,G110$MG!o`,,,,,
