key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
alive,vZjts]R6&L,,,,,
April,MChRotOb)h,,,,,
art,d`KV|9)|q|,,,,,
August,i>`>u8)8uz,,,,,
bad,tO7tdj@R@q,,,,,
beautiful,"Lf&ntpaxK,",,,,,
beer,ss]E&9Tq0z,,,,,
big / large,z)jST(%$M?,,,,,
black,vV(mF@T23W,,,,,
blind,bdUaQR<pjt,,,,,
blood,w=~&ar&G]n,,,,,
blue,GOy<CL|/K?,,,,,
breakfast,wwo/<R3nA),,,,,
brown,wX*91sQUE0,,,,,
cheap,eeDsaKTGXi,,,,,
clay,M0eyZv[$CA,,,,,
clean,Aqut%|(?AO,,,,,
coffee,jjA([hsR/.,,,,,
cold,BT{M1|j5T0,,,,,
cool,"l67:$;,1dl",,,,,
copper,zjjK;$v;<e,,,,,
curved,LS)I#E}2Lj,,,,,
dark,LX4yyr{G*K,,,,,
dark blue,q1_YXl+R4,,,,,
dead,h9M7&->NBX,,,,,
deaf,C7TiK4++Ck,,,,,
death,L$v|bn#6p`,,,,,
December,qX^}oeWI0x,,,,,
deep,i|#vmL>+mV,,,,,
diamond,oP)ywLV;dx,,,,,
dinner,eFqjmX24(r,,,,,
dirty,suz!OS{]kt,,,,,
disease,"g#V+_dY/i,",,,,,
down,"vz=c[}oj],",,,,,
dry,A&fC<WMFg[,,,,,
dust,J;FdZ2zx$*,,,,,
Earth,qbj(`(3q{l,,,,,
eight,Py@jl9`07#,,,,,
eighteen,P^wy^I~KXU,,,,,
eighty,qiE|3FH5s0,,,,,
eighty-one,MeLbaJ:2/g,,,,,
eighty-two,g`dvX!`DRs,,,,,
eleven,"F4GS,RSD;r",,,,,
energy,O;~9z$u)*k,,,,,
exercise,lsaR_lP@lz,,,,,
expensive,F-uvw$F]ax,,,,,
famous,"DSAU7R]`h,",,,,,
fast,cyd@t8O4o^,,,,,
February,b<[+BmkpE|,,,,,
female,OyiKdc}u/>,,,gender,gender,
fifteen,AV`)=H|vZH,,,,,
fifth,kmGGr4JQFN,,,,,
fifty,C?EN)6p!KK,,,,,
fifty-one,HLewf`N1O[,,,,,
fifty-two,GM_Kh>raqO,,,,,
first,GyBX=$c0)(,,,,,
five,PewIia=C2},,,,,
flat,K6wlIAKvB_,,,,,
food,z.@y4(Sn!>,,,,,
forty,lnrHurBpu(,,,,,
forty-one,NA3lg8<^Xm,,,,,
forty-two,gk8Tqt:}UB,,,,,
four,F/JX&)vlzg,,,,,
fourteen,AH.XDsQK:i,,,,,
fourth,kB8[0S;y]T,,,,,
Friday,N-+8c%/2Vk,,,day of the week,day of the week,
glass [material],lHe+_<}O%c,,,,,
God,"I+X,^U{_r;",,,,,
gold,"d,sr/%qJ]9",,,,,
good,n%M/>veI2G,,,quality,quality,
gray,f4?bPOw|wY,,,,,
green,ehNA]dQgqv,,,,,
happy,f|W0Rs<K-8,,,,,
hard,p-uI:>-[B8,,,,,
he,lA_Av%*O@+,,,,,
healthy,m)#q!A@p>#,,,,,
heaven,P?x.V+FXY%,,,,,
heavy,lf)&S?0#u(,,,,,
hell,yv4tRWIB#?,,,,,
high,HLPBGVREw+,,,elevation,elevation,
hot,cHnLeSOowG,,,high temperature,high temperature,
I,"y-3Ssrj>s,",,,,,
it,I9xnMOm6VK,,,,,
January,M2v&6$fV#:,,,,,
juice,gYG.|E+eq1,,,,,
July,p_9ixXR7_0,,,,,
June,(Sz07oaP?,,,,,
left,p65$>Rc_42,,,,,
"light [opposite of ""dark""]",uj_}cOZ=E8,brightness,,,,
"light [opposite of ""heavy""]",IT}bW`Oz+,weight,,,,
light blue,MA8uVN)N%Q,,,,,
long,sl_iI:Ln.x,,,,,
loose,h8GxCbG!Jt,,,,,
loud,tB1vg@iM}@,,,,,
low,ru+6`Q+j*},,,,,
lunch,w9#O_Nj]NO,,,,,
male,iui~LDIFgw,,,,,
March,Jns}kIyHks,,,,,
marriage,"eZ,SVLf9Dz",,,the institution,the institution,
material,gZdzEh#[2N,,,,,
May,rm11wZf(b;,,,,,
mean,vJ6K:`ED!a,,,,,
medicine,n4z~#r~-^i,,,medical treatment,medical treatment,
metal,zCy>I2<O{H,,,,,
milk,t#htNj1ihs,,,,,
Monday,fB&hq|Tw&l,,,,,
money,LRnwM&<TR2,,,,,
murder,Rf]Ny3AFTc,,,,,
music,da2b1^HaZ{,,,,,
narrow,mi8u;TMSzE,,,not wide,not wide,
nature,v1:(Ccdxtv,,,,,
new,M?=YWC_lSb,,,,,
nice,ikNFn]U/Q%,,,pleasant,pleasant,
nine,KB:/ja;e>+,,,,,
nineteen,OAL72n]NVI,,,,,
ninety,w@S:f8c4rr,,,,,
ninety-one,BmZnk?MEA-,,,,,
ninety-two,PV2r/9BH.+,,,,,
no,rzk[]SK97^,,,,,
November,"u-,+2}4t!f",,,,,
nuclear,fjhI@SNQ)m,,,,,
October,bR0RBJu*%w,,,,,
oil,L;??Re^i*#,,,,,
"old [opposite of ""new""]","d38*0o.,Ni",not recently made,,,,
"old [opposite of ""young""]",GT&7L0y1~^,age of person,,,,
one,L]?W)Jwg[t,,,,,
one billion,HWv87sD@dX,,,,,
one hundred,y85R3]^tdi,,,,,
one hundred eleven,"fnK,Iu+:+H",,,,,
one hundred one,ztD(C!u)]t,,,,,
one hundred ten,gT!yA6Zzh_,,,,,
one hundred thousand,"EUqH,RHFGj",,,,,
one hundred two,Cq*REskcx,,,,,
one million,ioU><;lA@w,,,,,
one thousand,nESZq~j5{!,,,,,
one thousand one,oKVbp5k}#<,,,,,
orange,CUKUxO@Q_X,,,color,color,
pain,J.du?2~BW_,,,,,
peace,"z/JdD,G[v5",,,,,
pink,jpH<I7je}9,,,,,
plastic,x43;;1O[;,,,,,
poison,FEO*]0/kj[,,,,,
poor,yzcY?<i]b=,,,,,
prison,>=[!3e?{c,,,,,
quiet,ksZkIR)nz?,,,,,
race [human group],FP_ro+X2fd,human group,,,,இனம் is broad (kind/group/species) but is the standard Tamil word for this concept.
race [sport],p2h#rd}K8},competition,,,,
red,l&$z2u_ygC,,,,,
relationship,"A%Yj,;ovdi",,,,,
religion,I!TF1]#o~T,,,,,
rice,iq7*7sW`bn,,,,,
rich,H@0T124li[,,,,,
right [direction],t!Lwti.1Wh,,,,,
sad,y$%:a{~t{W,,,,,
salt,b7s&a&z[}e,,,,,
Saturday,F{<;^E&tlJ,,,,,
science,cVs+Bx;4da,,,,,
second,EyITB|EX$C,,,,,
September,MPY_~w^%OV,,,,,
seven,B<4+Zf+)nN,,,,,
seventeen,Q#n2dU(|9Z,,,,,
seventy,"Gy&,,6HBVq",,,,,
seventy-one,wdQ@yKH-1~,,,,,
seventy-two,LfJ-exce@u,,,,,
sex [gender],dfZ&JIUH@&,male or female,,,,
sex [the act],lu:T|C%HG7,intercourse,,,,
shallow,f-vZOv|*K*,,,,,
she,"B5*t,}g:c{",,,,,
"short [opposite of ""long""]",s~L$x$uFI+,length,,not long,not long,
"short [opposite of ""tall""]",hD:=|i.weK,height,,,,
sick,C)EF#48E>r,,,,,
silver,E&@Y;?g:5y,,,metal,metal,
six,Clu2NC8u|5,,,number,number,
sixteen,"kEcC,bPm;7",,,,,
sixty,f`EX{ssT!K,,,,,
sixty-one,Lh^w-UZK;Y,,,,,
sixty-two,M?+x7;P4t^,,,,,
slow,k#e5%l*f7;,,,,,
small / little,OvH-8Jh9A,,,,,
soft,J_:IUBT=gN,,,,,
soil/earth [ground],LlW=rBf?{Y,,,,,
space,P{KGzRFv[6,,,,,
sport,"Q_,5?tq{%Q",,,athletic activity,athletic activity,
stone,kz.W8O:^L#,,,,,
straight,MZpx.7c~9e,,,,,
strong,c~yK1PdDo%,,,,,
sugar,C34Q/t+mL>,,,,,
Sunday,EXFrG/ct6w,,,,,
sweat,Ai~}1y9q8*,,,,,
tall,IKv96-u+uo,,,height of person,height of person,
tea,"KVC`ws~,;>",,,,,
technology,d^eB2[4[ot,,,,,
temperature,o7)upl$YMD,,,,,
ten,roOXLi|ooW,,,,,
ten thousand,LNc&)mBJoN,,,,,
the actor,n$?SPf9*51,,,,,
the adjective,Mz^]tXp3E>,,,,,
the adult,"r,y-4`suq]",,,,,
the afternoon,xzQ4|%`>Mr,,,,,
the air,Hh:[AYV^-g,,,what we breathe,what we breathe,
the airport,p$)U1G<PwW,,,,,
the animal,O>(7eBe#Oi,,,,,
the apartment,di]B>*>hjO,,,,,
the apple,yq%[R!Fm_=,,,,,
the arm,JQ1;)@edQJ,,,shoulder to wrist,shoulder to wrist,
the army,C(k9h6{gQP,,,,,
the artist,P.l3|qd![b,,,,,
the attack,oRPQugW&LL,,,,,
the author,KJhaJgulA6,,,,,
the baby,Mh`S/KY2ED,,,infant,infant,
the back [anatomy],iE-%%oJ+%Y,body part,,,,
the back [location],A6r:^[(0q@,behind,,,,
the bag,QecagRluif,,,,,
the ball,eH%h]Iqj3q,,,,,
the banana,gjKKIg:/L%,,,,,
the band [music],ko)IMjV.zh,,,,,
the bank,iW>[#?.#OR,,,,,
the bar,I3~6=|4UQB,,,,,
the bathroom,o}~YHQv{f|,,,,,
the beach,f)VRdG{]Xx,,,,,
the beard,bCV)?x29[P,,,,,
the bed,OHx?~UVc]],,,,,
the bedroom,Pl?i6Y-9UV,,,,,
the beef,E2d55EEg}e,,,,,
the beverage,zdH~}<Ju$o,,,,,
the bicycle,B`QV[4+9L-,,,,,
the bill [bank note],dB7YB1=!#[,,,,,
the bird,Ee#x`x:z*m,,,,,
the boat,"wWaI|dZ,r/",,,,,
the body,hTk+($Mr.k,,,,,
the bone,DG&mS!-PfJ,,,,,
the book,IXFBR~q3cx,,,,,
the bottle,GO>K0~L?/|,,,,,
the bottom,"PyvFB|<,W~",,,,,
the box,rvkNg;B)}>,,,,,
the boy,"E,i)7KjL@=",,,,,
the brain,e^IHU~bAQP,,,,,
the bread,j9WTcB?^$I,,,,,
the bridge,mfMW1i;7Zq,,,,,
the brother,IsN4:Qq5->,,,,,
the building,poF/i*X@E@,,,,,
the bus,q28K1+N|kc,,,,,
the cake,x#:hM:E+P5,,,,,
the camera,nICNH>IneD,,,,,
the camp,jI-1&.t|y^,,,,,
the car,m9;DSppP&_,,,,,
the card,CHM<mwGqbD,,,,,
the cat,Fp2~IK%z3$,,,,,
the ceiling,nPu5{^<N>;,,,inside,inside,
the cell phone,Ai2N1q#<xf,,,,,
the centimeter,DsZ(-s!EF6,,,,,
the chair,zXFAqO`>uh,,,,,
the cheese,JzXD+Htn2N,,,,,
the chicken,L;9(N;-TGh,,,,,
the child,H#_Se]y@IE,,,older,older,
the church,Ms|0%{[ipN,,,,,
the circle,Ga=WfmvALA,,,,,
the city,6<et)K3Wh,,,larger,larger,
the clock,ddY4IOzgWX,,,,,
the clothing,M#DZd1~uqb,,,"general, all types","general, all types",
the club,m<$*g(+zlk,,,,,
the coat,H@P<JB$(;v,,,,,
the color,"rS9zhL#,Fp",,,,,
the computer,qA|#-VH@_=,,,,,
the consonant,Q98}~<hml6,,,,,
the contract,HAvQ|Ovsm-,,,,,
the corn,h`$8Bg@MZg,,,,,
the corner,F*:v>Qh<f&,,,,,
the country,mN}/Lf&Lr(,,,,,
the court,"soGvvrL(z,",,,,,
the cow,w#G/.L!.o7,,,,,
the crowd,b4i[#wbU2c,,,,,
the cup,nZer+vYQU.,,,,,
the date,c#cC0fJ#s{,,,,,
the daughter,Ma65%bvi.G,,,,,
the day,F^60*Lt}ni,,,,,
the direction,CE`!AT*k/*,,,,,
the doctor,Q@P5o9=0{x,,,,,
the dog,CE2ks$-tM@,,,,,
the dollar,zCP;ggz4[-,,,,,
the door,uu9~}r|:7v,,,,,
the dot,AcyRz1DhGR,,,,,
the dream,"y0-..Q#],p",,,,,
the dress,MOumZEV]l+,,,specific garment,specific garment,
the drug,fB`0?Oo|1U,,,"substance, general","substance, general",
the ear,nJOgkCDb@g,,,,,
the east,B[[@Ph?V#&,,,,,
the edge,k1^8wHMKPU,,,,,
the egg,fe#fRuP:?@,,,,,
the election,"xD,ZM;zTbg",,,,,
the engine,Cj*A^aF^:;,,,,,
the evening,lAow!xhSMO,,,,,
the eye,Mu#vp@EpIw,,,,,
the face,c:mZl.Zb:J,,,,,
the Fall,hR=cIj=qx#,,,,,
the family,m?<<Tm~xz%,,,,,
the fan [appliance],mta|h&?;VM,cooling device,,,,
the fan [person],u0r35Pw;8;,admirer,,,,
the farm,Ccgqc+3xd1,,,,,
the father,"HlqevM=g,h",,,,,
the finger,L;r:*m]7Jl,,,,,
the fire,cue:Nd*yv),,,,,
the fish,kK9k?@.@b#,,,,,
the floor,u4r+qc2)?u,,,,,
the flower,O(bNtjTKW%,,,,,
the foot,jb#7+RA{_+,body part,,,,
the foot [measurement],x;EF[8Z;T5,unit of length,,,,
the forest,w83;``&aVK,,,,,
the fork,d(4;o_j2l*,,,,,
the friend,qMh|&W}xh.,,,,,
the front,qbRn+et[}h,,,,,
the game,eNV4_cXRBa,,,played for fun,played for fun,
the garden,N|*=:|_V]j,,,,,
the gasoline,t.S9W^=*U2,,,,,
the gift,rECdIy:$nM,,,,,
the girl,dZa2Bp>DDc,,,young female,young female,
the grandfather,"L,DWQ6wygs",,,,,
the grandmother,Cb>]uM(zKe,,,,,
the grass,K!`{m7yhXx,,,,,
the ground,Br{fz~x1yy,,,,,
the gun,hjkHau.3Pw,,,,,
the hair,EkPVa.&X*D,,,,,
the half,g[2aVH8:OJ,,,,,
the hand,w{Im1x3jej,,,fingers and palm,fingers and palm,
the hat,BEjv(Bbfo_,,,,,
the head,B@{8ZUt!P:,,,,,
the heart,H^Yqcg(x=j,,,,,
the heat,Qr{kprg<73,,,,,
the hill,BQj=9C@80u,,,smaller elevation,smaller elevation,
the hole,uR:T*WeLz.,,,,,
the horse,HCn.=)Lw`A,,,,,
the hospital,Ox~Y9#P#bc,,,,,
the hotel,qejYuv~T|D,,,,,
the hour,e/`)L|klc#,,,,,
the house,n)T4Tye;O,,,,,
the human,oZflmT/.|@,,,,,
the husband,j@RzCozKw0,,,,,
the ice,D)!*?:P.VL,,,frozen,frozen,
the image,y.}A7KXOtk,,,,,
the inch,j`tse>N<.E,,,,,
the injury,L~6uRtq!Xk,,,,,
the inside,cBIibF;XID,,,,,
the instrument,I4@E=7Vf#G,,,for music,for music,
the island,NdyYt3VVt3,,,,,
the job,zkpI6%w4R),,,,,
the key,EU%F?d-L)P,,,,,
the kilogram,H?`eWPLWN7,,,,,
the king,h$DLv1DwZ],,,,,
the kitchen,Nf~G79$((p,,,,,
the knee,w`u@<bu!SV,,,,,
the knife,"c,*>x}|x:/",,,,,
