key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
the car,ABi0.-K`vQ,,,,,
Earth,i{Q5Og2y;J,,,Es muy grande.,Es muy grande.,Erde también quiere decir tierra/suelo.
the dog,XK)a_&89g,,,,,
the cat,shS]Q>`9i-,,,,,
the fish,"cT5,xMHm/m",,,,,
the bird,Kw~Yy3(%L8,,,,,
the cow,u|HUDv.N5:,,,,,
the pig,fsk*_g>f}s,,,,,
the mouse,j_S[r1yDr5,,,,,
the horse,C<o@#eA0@1,,,,,
the wing,fpT;wpdh9i,,,,,
the animal,NPr`K>7r]L,,,,,
the train,"Da9e]:2_,0",,,,,
the plane,gN=>[~+_B>,,,,,
the truck,J}6Fo-Qw^j,,,,,
the bicycle,u1ERux/|*H,,,,,
the bus,MFw@m=.!E|,,,,,
the boat,h2OY1S4-QZ,,,,,
the ship,E^Ubf60EiI,,,,,
the tire,"g%<HC+v9,7",,,,,
the gasoline,MIwbwiC@#.,,,,,
the engine,n7?h]$z.6,,,,,
the (train) ticket,BM]3sGEdJ,,,,,
transportation,d{;JhJg+T6,,,,,
the city,GpT)8d%z.b,,,,,
the house,D%30H^`tky,,,,,
the apartment,fejZb*P(;!,,,,,
the street/road,H)%se#P75~,,,,,
the airport,L/Dd>hYVP`,,,,,
the train station,F{+XwGPC+{,,,,,
the bridge,wHok|Eg-IW,,,,,
the hotel,"v^2NX,NRoQ",,,,,
the restaurant,BGof#<bXCT,,,,,
the farm,xe0Po-#B2.,,,,,
the court,CO=:29DJ#b,,,,,
the school,JkU350/.K?,,,,,
the office,Q:ujyP63G[,,,,,
the room,on_9AfkHKs,,,,,
the town,Q@aN^xL-zu,,,,,
the university,m.v|gm?_Bw,,,,,
the club,kn(][TY[@$,,,,,
the bar,gxxC[4Z5rh,,,,,
the park,w8T1$98Rmf,,,,,
the camp,ebS}d`-Y0R,,,,,
the store/shop,"u].+&,-5.E",,,,,
the theater,l4<~SSK%!A,,,,,
the library,O.vd81b=_>,,,,,
the hospital,BOQhFg?iTp,,,,,
the church,K~DmehR9IX,,,,,
the market,jb?}??%U~i,,,,,
"the country (USA, France, etc.)",oq}<sB|B*b,,,,,
the building,gP$6u({l4i,,,,,
the ground,p^h7$^`it1,,,,,
space (outer space),AF2*)d&PU(,,,,,
the bank,zp_fos=e2v,,,,,
the location,j#8%3M~n(S,,,,,
the hat,dh^~js-o)F,,,,,
the dress,F$e(9%udR;,,,,,
the suit,D]zW]t=b=a,,,,,
the skirt,kBI4~)bJp;,,,,,
the shirt,PKLhb0Z~1B,,,,,
the T-shirt,BB4B5uYPp`,,,,,
the pants,bff/)ymKj&,,,,,
the shoes,qKb7NjgeUg,,,,,
the pocket,Q<[)p98YbW,,,,,
the coat,FW7zMA(]}~,,,,,
the stain,m/Qg/G@W:R,,,,,
the clothing,M:u0w4b1Qe,,,,,
