key,clarification
alive,
April,
art,creative/aesthetic works
August,
bad,
beautiful,
beer,
big / large,
black,
blind,
blood,
blue,
breakfast,
brown,
cheap,
clay,moldable earth material
clean,
coffee,
cold,
cool,slightly cold
copper,reddish metal (Cu)
curved,
dark,
dark blue,
dead,
deaf,
death,
December,
deep,
diamond,precious gemstone
dinner,
dirty,
disease,illness/sickness
down,
dry,
dust,fine loose particles
Earth,the planet we live on
eight (8),
eighteen (18),
eighty (80),
eighty-one (81),
eighty-two (82),
eleven (11),
energy,power/capacity to do work
exercise,physical activity for fitness
expensive,
famous,
fast,
February,
female,
fifteen (15),
fifth (5th),
fifty (50),
fifty-one (51),
fifty-two (52),
first (1st),
five (5),
flat,
food,
forty (40),
forty-one (41),
forty-two (42),
four (4),
fourteen (14),
fourth (4th),
Friday,
glass [material],the transparent material (not a cup)
God,supreme deity
gold,precious yellow metal (Au)
good,
gray,
green,
happy,
hard,
he,
healthy,
heaven,afterlife paradise
heavy,
hell,afterlife place of punishment
high,
hot,
I,
it,
January,
juice,
July,
June,
left,
"light [opposite of ""dark""]",bright/not dark
"light [opposite of ""heavy""]",not heavy
light blue,
long,
loose,
loud,
low,
lunch,
male,
March,
marriage,union between spouses
material,fabric/substance
May,
mean,unkind
medicine,treatment/remedy
metal,hard metallic element (Fe)
milk,
Monday,
money,currency/medium of exchange
murder,unlawful killing
music,melodic/harmonic art form
narrow,
nature,the natural world
new,
nice,
nine (9),
nineteen (19),
ninety (90),
ninety-one (91),
ninety-two (92),
no,
November,
nuclear,atomic
October,
oil,cooking oil
"old [opposite of ""new""]",
"old [opposite of ""young""]",
one (1),
"one billion (1,000,000,000)",
one hundred (100),
one hundred eleven (111),
one hundred one (101),
one hundred ten (110),
"one hundred thousand (100,000)",
one hundred two (102),
"one million (1,000,000)",
one thousand (1000),
one thousand one (1001),
orange,
pain,physical sensation of hurt
peace,absence of war
pink,
plastic,synthetic polymer material
poison,harmful substance
poor,
prison,confinement facility
quiet,
race [ethnicity],ethnic background
race [sport],competitive running
red,
relationship,connection between people
religion,belief system/faith
rice,
rich,
right [direction],
sad,
salt,
Saturday,
science,systematic study of nature
second (2nd),
September,
seven (7),
seventeen (17),
seventy (70),
seventy-one (71),
seventy-two (72),
sex [gender],biological classification
sex [the act],intimate physical activity
shallow,
she,
"short [opposite of ""long""]",
"short [opposite of ""tall""]",
sick,
silver,precious white metal (Ag)
six (6),
sixteen (16),
sixty (60),
sixty-one (61),
sixty-two (62),
slow,
small / little,
soft,
soil/earth [ground],dirt/earth for planting
space (outer space),cosmos/universe beyond Earth
sport,athletic competition
stone,hard natural mineral
straight,
strong,
sugar,
Sunday,
sweat,
tall,
tea,
technology,applied science/tools
temperature,degree of hot/cold
ten (10),
"ten thousand (10,000)",
the (train) ticket,pass for entry/travel
the actor,performer in film/theater
the adjective,"describing word (big, red, etc.)"
the adult,fully grown person
the afternoon,midday to evening
the air,gases we breathe
the airport,where planes land/depart
the animal,any living creature
the apartment,housing unit in building
the apple,
the arm,upper limb
the army,military force
the artist,creative person
the attack,violent physical act
the author,writer of books
the baby,very young human
the back [anatomy],body part (rear torso)
the back [location],rear position
the bag,flexible container with handles
the ball,spherical object for sports/games
the banana,
the band [music],group of musicians
the bank,financial institution
the bar,establishment serving drinks
the bathroom,room with toilet/shower
the beach,sandy area by water
the beard,facial hair on chin
the bed,furniture for sleeping
the bedroom,room for sleeping
the beef,
the beverage,
the bicycle,two-wheeled vehicle
the bill [bank note],paper currency
the bird,flying animal with feathers
the boat,water vessel
the body,physical form
the bone,internal structure
the book,written/printed work
the bottle,container for liquids
the bottom,lowest area
the box,container
the boy,male child
the brain,organ for thinking
the bread,
the bridge,structure over water/gap
the brother,male sibling
the building,any structure
the bus,large public road vehicle
the cake,
the camera,device for taking photos
the camp,outdoor sleeping area
the car,automobile
the card,"playing card, greeting card, etc."
the cat,common domestic pet (feline)
the ceiling,upper interior surface
the cell phone,mobile phone
the centimeter,unit of length (1cm)
the chair,furniture for sitting
the cheese,
the chicken,the animal
the child,young human
the church,religious building
the circle,round shape
the city,large municipality
the clock,device showing time
the clothing,garments/apparel
the club,social organization
the coat,outer garment
the color,
the computer,desktop/laptop machine
the consonant,"b, c, d, f, g, etc."
the contract,legal agreement
the corn,maize/grain
the corner,where two walls/lines meet
"the country (USA, France, etc.)","nation (USA, France, etc.)"
the court,legal court
the cow,farm animal that gives milk
the crowd,group of people gathered
the cup,drinking vessel
the date,calendar day
the daughter,female offspring
the day,24-hour period
the direction,way/path to follow
the doctor,medical professional
the dog,common domestic pet (canine)
the dollar,US currency unit
the door,opening in wall for entry
the dot,small round mark
the dream,nocturnal vision during sleep
the dress,women's garment
the drug,medicine
the ear,organ for hearing
the east,compass direction (sunrise)
the edge,border/boundary
the egg,
the election,democratic process
the engine,motor that powers machines
the evening,late day before night
the eye,organ for seeing
the face,front of head
the Fall,season when leaves fall
the family,group of relatives
the fan [appliance],movable air/cooling device
