guid,source text,target text,target ipa,target audio,picture,notes,pronunciation hint,spelling hint,reading hint,listening hint,source & license,tags
qhF)az6{cS,the car,o carro,/u ˈkaʁu/,[sound:al_pt_pt_o_carro.mp3],"<img src=""al_car_vw.jpg"">",,,,,,"Picture:&nbsp;<a href=""https://pixabay.com/photos/car-engine-wheels-vintage-car-7275386/"">https://pixabay.com/photos/car-engine-wheels-vintage-car-7275386/</a>",AnkiLangs::PT
pX3:=XWOT:,Earth,Terra,/'tɛʁɐ/,[sound:al_pt_pt_terra.mp3],"<img src=""al_earth.jpg"">",,,,It is very large,It is very large.,"Picture:&nbsp;<a href=""https://pixabay.com/photos/earth-globe-planet-world-space-11015/"">https://pixabay.com/photos/earth-globe-planet-world-space-11015/</a>",AnkiLangs::PT
"o),uBI>7Co",the dog,o cão,/u ˈkɐ̃w̃/,[sound:al_pt_pt_o_cao.mp3],,,,,,,,AnkiLangs::PT
z*<N{X30_>,the cat,o gato,/u ˈɡatu/,[sound:al_pt_pt_o_gato.mp3],,,,,,,,AnkiLangs::PT
C`@Pw@#@E4,the fish,o peixe,/u ˈpejʃi/,[sound:al_pt_pt_o_peixe.mp3],,,,,,,,AnkiLangs::PT
GEX3hva2=I,the bird,o pássaro,/u ˈpasaru/,[sound:al_pt_pt_o_passaro.mp3],,,,,,,,AnkiLangs::PT
ymjcNfO$}l,the cow,a vaca,/ɐ ˈvakɐ/,[sound:al_pt_pt_a_vaca.mp3],,,,,,,,AnkiLangs::PT
p-%xj#!PQD,the pig,o porco,/u ˈpɔɾku/,[sound:al_pt_pt_o_porco.mp3],,,,,,,,AnkiLangs::PT
bdmQuWjj[g,the mouse,o rato,/u ˈʁatu/,[sound:al_pt_pt_o_rato.mp3],,,,,,,,AnkiLangs::PT
Fu)%G/Z&ie,the horse,o cavalo,/u kɐˈvalu/,[sound:al_pt_pt_o_cavalo.mp3],,,,,,,,AnkiLangs::PT
Gv;lwtqNb+,the wing,a asa,/ɐ ˈazɐ/,[sound:al_pt_pt_a_asa.mp3],,,,,,,,AnkiLangs::PT
kH/h;rYGf4,the animal,o animal,/u ɐniˈmaɫ/,[sound:al_pt_pt_o_animal.mp3],,,,,,,,AnkiLangs::PT
g!p/oj6D|C,the train,o comboio,/u kũˈbɔj.u/,[sound:al_pt_pt_o_comboio.mp3],,,,,,,,AnkiLangs::PT
oJ1iE4>MR3,the plane,o avião,/u ɐviˈɐ̃w̃/,[sound:al_pt_pt_o_aviao.mp3],,,,,,,,AnkiLangs::PT
b.?2F}SC~P,the truck,o camião,/u kɐˈmĩw̃/,[sound:al_pt_pt_o_camiao.mp3],,,,,,,,AnkiLangs::PT
g<<W<GlTq7,the bicycle,a bicicleta,/ɐ bisiˈkletɐ/,[sound:al_pt_pt_a_bicicleta.mp3],,,,,,,,AnkiLangs::PT
B]Mea=fPKR,the bus,o autocarro,/u awtoˈkaʁu/,[sound:al_pt_pt_o_autocarro.mp3],,,,,,,,AnkiLangs::PT
q@knlr#gW@,the boat,o barco,/u ˈbaɾku/,[sound:al_pt_pt_o_barco.mp3],,,,,,,,AnkiLangs::PT
