key,source
alive,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
April,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
art,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
August,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
bad,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
beautiful,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
beer,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
big / large,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
black,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
blind,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
blood,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
blue,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
breakfast,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
brown,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
cheap,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
clay,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
clean,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
coffee,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
cold,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
cool,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
copper,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
curved,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
dark,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
dark blue,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
dead,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
deaf,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
death,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
December,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
deep,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
diamond,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
dinner,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
dirty,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
disease,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
down,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
dry,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
dust,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
Earth,"Picture:<br><a href=""https://pixabay.com/photos/earth-globe-planet-world-space-11015/"">https://pixabay.com/photos/earth-globe-planet-world-space-11015/</a><br><br>Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C"
eight (8),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux
eighteen (18),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina
eighty (80),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina
eighty-one (81),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux
eighty-two (82),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina
eleven (11),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux
energy,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
exercise,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
expensive,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
famous,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
fast,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
February,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
female,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
fifteen (15),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina
fifth (5th),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux
fifty (50),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina
fifty-one (51),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux
fifty-two (52),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina
first (1st),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina
five (5),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux
flat,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
food,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
forty (40),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux
forty-one (41),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux
forty-two (42),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina
four (4),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux
fourteen (14),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina
fourth (4th),Audio:<br>Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux
Friday,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
glass,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
God,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-C
gold,Audio:<br>Google Cloud TTS<br>Voice: es-ES-Studio-F
