key,source
alive,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
April,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
art,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
August,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
bad,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
beautiful,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
beer,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
big / large,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
black,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
blind,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
blood,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
blue,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
breakfast,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
brown,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
cheap,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
clay,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
clean,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
coffee,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
cold,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
cool,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
copper,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
curved,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
dark,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
dark blue,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
dead,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
deaf,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
death,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
December,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
deep,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
diamond,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
dinner,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
dirty,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
disease,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
down,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
Earth,"Picture:<br><a href=""https://pixabay.com/photos/earth-globe-planet-world-space-11015/"">https://pixabay.com/photos/earth-globe-planet-world-space-11015/</a><br><br>Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A"
gray,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
green,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
light blue,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
orange,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
pink,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
red,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
space (outer space),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the (train) ticket,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the adult,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the airport,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the animal,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the apartment,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the baby,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the bank,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the bar,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the bicycle,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the bird,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the boat,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the boy,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the bridge,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the brother,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the building,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the bus,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the camp,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the car,"Picture:<br><a href=""https://pixabay.com/photos/car-engine-wheels-vintage-car-7275386/"">https://pixabay.com/photos/car-engine-wheels-vintage-car-7275386/</a><br><br>Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A"
the cat,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the child,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the church,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the city,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the clothing,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the club,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the coat,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the color,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
"the country (USA, France, etc.)",Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the court,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the cow,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the crowd,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the daughter,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the dog,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the dress,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the engine,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the family,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the fan [person],Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the farm,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the father,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the fish,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the friend,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the gasoline,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the girl,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the grandfather,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the grandmother,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the ground,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the hat,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the horse,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the hospital,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the hotel,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the house,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the human,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the husband,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the king,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the library,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the location,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the man,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the market,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the mother,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the mouse,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the neighbor,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the office,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the pants,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the parent,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the park,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the person,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the pig,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the plane,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the player,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the pocket,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the president,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the queen,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the restaurant,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the room,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the school,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the ship,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the shirt,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the shoes,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the sister,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the skirt,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the son,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the stain,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the store/shop,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the street/road,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the suit,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the T-shirt,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the theater,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the tire,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the town,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the train,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the train station,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the truck,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the university,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the victim,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
the wife,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
the wing,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Chirp3-HD-Schedar
the woman,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
transportation,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
white,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
yellow,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
