key,source
alive,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
April,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
art,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
August,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
bad,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
beautiful,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
beer,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
big / large,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
black,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
blind,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
blood,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
blue,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
breakfast,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
brown,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
cheap,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
clay,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
clean,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
coffee,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
cold,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
cool,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
copper,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
curved,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
dark,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
dark blue,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
dead,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
deaf,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
death,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
December,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
deep,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
diamond,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
dinner,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
dirty,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
disease,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
down,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
dry,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
dust,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
Earth,"Picture:<br><a href=""https://pixabay.com/photos/earth-globe-planet-world-space-11015/"">https://pixabay.com/photos/earth-globe-planet-world-space-11015/</a><br><br>Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D"
eight (8),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
eighteen (18),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
eighty (80),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
eighty-one (81),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
eighty-two (82),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
eleven (11),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
energy,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
exercise,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
expensive,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
famous,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
fast,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
February,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
female,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
fifteen (15),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
fifth (5th),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
fifty (50),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
fifty-one (51),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
fifty-two (52),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
first (1st),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
five (5),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
flat,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
food,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
forty (40),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
forty-one (41),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
forty-two (42),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
four (4),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
fourteen (14),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
fourth (4th),Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
Friday,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
glass [material],Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
God,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
gold,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
good,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
gray,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
green,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
happy,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
hard,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
he,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
healthy,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
heaven,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
heavy,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
hell,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
high,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
hot,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
I,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
it,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
January,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
juice,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
July,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
June,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
left,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
"light [opposite of ""dark""]",Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
"light [opposite of ""heavy""]",Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
light blue,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
long,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
loose,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
loud,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
low,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
lunch,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
male,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
March,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
marriage,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
material,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
May,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
mean,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
medicine,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
metal,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
milk,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-C
Monday,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
money,Audio:<br>Google Cloud TTS<br>Voice: ar-XA-Standard-D
