key,source
alive,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
April,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
art,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
August,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
bad,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
beautiful,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
beer,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
big / large,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
black,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
blind,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
blood,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
blue,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
breakfast,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
brown,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
cheap,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
clay,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
clean,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
coffee,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
cold,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
cool,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
copper,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
curved,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
dark,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
dark blue,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
dead,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
deaf,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
death,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
December,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
deep,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
diamond,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
dinner,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
dirty,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
disease,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
down,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
dry,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
dust,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
Earth,"Picture:<br><a href=""https://pixabay.com/photos/earth-globe-planet-world-space-11015/"">https://pixabay.com/photos/earth-globe-planet-world-space-11015/</a><br><br>Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A"
eight (8),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
eighteen (18),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
eighty (80),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
eighty-one (81),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
eighty-two (82),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
eleven (11),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
energy,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
exercise,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
expensive,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
famous,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
fast,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
February,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
female,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
fifteen (15),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
fifth (5th),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
fifty (50),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
fifty-one (51),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
fifty-two (52),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
first (1st),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
five (5),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
flat,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
food,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
forty (40),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
forty-one (41),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
forty-two (42),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
four (4),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
fourteen (14),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
fourth (4th),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
Friday,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
glass [material],Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
God,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
gold,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
good,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
gray,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
green,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
happy,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
hard,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
he,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
healthy,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
heaven,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
heavy,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
hell,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
high,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
hot,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
I,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
it,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
January,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
juice,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
July,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
June,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
left,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
"light [opposite of ""dark""]",Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
"light [opposite of ""heavy""]",Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
light blue,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
long,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
loose,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
loud,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
low,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
lunch,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
male,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
March,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
marriage,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
material,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
May,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
mean,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
medicine,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
metal,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
milk,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
Monday,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
money,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
murder,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
music,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
narrow,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
nature,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
new,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
nice,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
nine (9),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
nineteen (19),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
ninety (90),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
ninety-one (91),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
ninety-two (92),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
no,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
November,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
nuclear,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
October,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
oil,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
"old [opposite of ""new""]",Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
"old [opposite of ""young""]",Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
one (1),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
"one billion (1,000,000,000)",Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
one hundred (100),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
one hundred eleven (111),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
one hundred one (101),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
one hundred ten (110),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
"one hundred thousand (100,000)",Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
one hundred two (102),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
"one million (1,000,000)",Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
one thousand (1000),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
one thousand one (1001),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
orange,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
pain,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
peace,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
pink,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
plastic,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
poison,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
poor,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
prison,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
quiet,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
race [ethnicity],Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
race [sport],Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
red,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
relationship,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
religion,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
rice,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
rich,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
right [direction],Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
sad,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
salt,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
Saturday,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
science,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
second (2nd),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
September,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
seven (7),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
seventeen (17),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
seventy (70),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
seventy-one (71),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
seventy-two (72),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
sex [gender],Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
sex [the act],Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
shallow,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
she,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
"short [opposite of ""long""]",Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
"short [opposite of ""tall""]",Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
sick,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
silver,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
six (6),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
sixteen (16),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
sixty (60),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
sixty-one (61),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
sixty-two (62),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
slow,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
small / little,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
soft,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
soil/earth [ground],Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
space (outer space),Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
sport,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-D
stone,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
straight,Audio:<br>Google Cloud TTS<br>Voice: fr-FR-Studio-A
