key,source
alive,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
April,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
art,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
August,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
bad,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
beautiful,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
beer,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
big / large,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
black,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
blind,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
blood,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
blue,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
breakfast,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
brown,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
cheap,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
clay,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
clean,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
coffee,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
cold,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
cool,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
copper,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
curved,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
dark,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
dark blue,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
dead,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
deaf,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
death,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
December,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
deep,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
diamond,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
dinner,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
dirty,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
disease,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
down,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
dry,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
dust,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
Earth,"Picture:<br><a href=""https://pixabay.com/photos/earth-globe-planet-world-space-11015/"">https://pixabay.com/photos/earth-globe-planet-world-space-11015/</a><br><br>Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A"
eight,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
eighteen,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
eighty,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
eighty-one,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
eighty-two,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
eleven,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
energy,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
exercise,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
expensive,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
famous,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
fast,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
February,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
