key,source
the car,"Picture:<br>Picture:&nbsp;<a href=""https://pixabay.com/photos/car-engine-wheels-vintage-car-7275386/"">https://pixabay.com/photos/car-engine-wheels-vintage-car-7275386/</a><br><br>Audio:<br>Google Cloud TTS"
Earth,"Picture:<br>Picture:&nbsp;<a href=""https://pixabay.com/photos/earth-globe-planet-world-space-11015/"">https://pixabay.com/photos/earth-globe-planet-world-space-11015/</a><br><br>Audio:<br>Google Cloud TTS"
the dog,Audio:<br>Google Cloud TTS
the cat,Audio:<br>Google Cloud TTS
the fish,Audio:<br>Google Cloud TTS
the bird,Audio:<br>Google Cloud TTS
the cow,Audio:<br>Google Cloud TTS
the pig,Audio:<br>Google Cloud TTS
the mouse,Audio:<br>Google Cloud TTS
the horse,Audio:<br>Google Cloud TTS
the wing,Audio:<br>Google Cloud TTS
the animal,Audio:<br>Google Cloud TTS
the train,Audio:<br>Google Cloud TTS
the plane,Audio:<br>Google Cloud TTS
the truck,Audio:<br>Google Cloud TTS
the bicycle,Audio:<br>Google Cloud TTS
the bus,Audio:<br>Google Cloud TTS
the boat,Audio:<br>Google Cloud TTS
the ship,Audio:<br>Google Cloud TTS
the tire,Audio:<br>Google Cloud TTS
the gasoline,Audio:<br>Google Cloud TTS
the engine,Audio:<br>Google Cloud TTS
the (train) ticket,Audio:<br>Google Cloud TTS
transportation,Audio:<br>Google Cloud TTS
the city,Audio:<br>Google Cloud TTS
the house,Audio:<br>Google Cloud TTS
the apartment,Audio:<br>Google Cloud TTS
the street/road,Audio:<br>Google Cloud TTS
the airport,Audio:<br>Google Cloud TTS
the train station,Audio:<br>Google Cloud TTS
the bridge,Audio:<br>Google Cloud TTS
the hotel,Audio:<br>Google Cloud TTS
the restaurant,Audio:<br>Google Cloud TTS
the farm,Audio:<br>Google Cloud TTS
the court,Audio:<br>Google Cloud TTS
the school,Audio:<br>Google Cloud TTS
the office,Audio:<br>Google Cloud TTS
the room,Audio:<br>Google Cloud TTS
the town,Audio:<br>Google Cloud TTS
the university,Audio:<br>Google Cloud TTS
the club,Audio:<br>Google Cloud TTS
the bar,Audio:<br>Google Cloud TTS
the park,Audio:<br>Google Cloud TTS
the camp,Audio:<br>Google Cloud TTS
the store/shop,Audio:<br>Google Cloud TTS
the theater,Audio:<br>Google Cloud TTS
the library,Audio:<br>Google Cloud TTS
the hospital,Audio:<br>Google Cloud TTS
the church,Audio:<br>Google Cloud TTS
the market,Audio:<br>Google Cloud TTS
"the country (USA, France, etc.)",Audio:<br>Google Cloud TTS
the building,Audio:<br>Google Cloud TTS
the ground,Audio:<br>Google Cloud TTS
space (outer space),Audio:<br>Google Cloud TTS
the bank,Audio:<br>Google Cloud TTS
the location,Audio:<br>Google Cloud TTS
the hat,Audio:<br>Google Cloud TTS
the dress,Audio:<br>Google Cloud TTS
the suit,Audio:<br>Google Cloud TTS
the skirt,Audio:<br>Google Cloud TTS
the shirt,Audio:<br>Google Cloud TTS
the T-shirt,Audio:<br>Google Cloud TTS
the pants,Audio:<br>Google Cloud TTS
the shoes,Audio:<br>Google Cloud TTS
the pocket,Audio:<br>Google Cloud TTS
the coat,Audio:<br>Google Cloud TTS
the stain,Audio:<br>Google Cloud TTS
the clothing,Audio:<br>Google Cloud TTS
