key,source
alive,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
April,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
art,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
August,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
bad,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
beautiful,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
beer,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
big / large,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
black,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
blind,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
blood,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
blue,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
breakfast,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
brown,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
cheap,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
clay,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
clean,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
coffee,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
cold,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
cool,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
copper,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
curved,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
dark,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
dark blue,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
dead,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
deaf,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
death,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
December,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
