key,source
alive,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
April,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
art,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
August,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
bad,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
beautiful,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
beer,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
big / large,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
black,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
blind,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
blood,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
blue,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
breakfast,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
brown,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
cheap,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
clay,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
clean,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
coffee,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
cold,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
cool,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
copper,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
curved,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
dark,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
dark blue,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
dead,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
deaf,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
death,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
December,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
deep,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
