key,source
alive,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
April,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
art,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
August,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
bad,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
beautiful,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
beer,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
big / large,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
black,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
blind,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
blood,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
blue,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
breakfast,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
brown,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
cheap,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
clay,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
clean,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
coffee,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
cold,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
cool,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
copper,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
curved,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
dark,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
dark blue,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
dead,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
deaf,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
death,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
December,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
deep,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
diamond,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
dinner,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
dirty,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
disease,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
down,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
dry,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
dust,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
Earth,"Picture:<br><a href=""https://pixabay.com/photos/earth-globe-planet-world-space-11015/"">https://pixabay.com/photos/earth-globe-planet-world-space-11015/</a><br><br>Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F"
eight,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
eighteen,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
eighty,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
eighty-one,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
eighty-two,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
eleven,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
energy,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
exercise,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
expensive,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
famous,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
fast,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
February,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
female,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
fifteen,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
fifth,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
fifty,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
fifty-one,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
fifty-two,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
first,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
five,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
flat,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
food,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
forty,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
forty-one,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
forty-two,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
four,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
fourteen,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-G
fourth,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
Friday,Audio:<br>Google Cloud TTS<br>Voice: nl-NL-Standard-F
