key,source
the car,"Picture:<br><a href=""https://pixabay.com/photos/car-engine-wheels-vintage-car-7275386/"">https://pixabay.com/photos/car-engine-wheels-vintage-car-7275386/</a>"
Earth,"Picture:<br><a href=""https://pixabay.com/photos/earth-globe-planet-world-space-11015/"">https://pixabay.com/photos/earth-globe-planet-world-space-11015/</a>"
the T-shirt,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the pants,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the shoes,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the pocket,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the coat,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the stain,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the clothing,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
red,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
green,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
blue,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
light blue,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
dark blue,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
yellow,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
brown,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
pink,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
orange,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
black,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
white,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
gray,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the color,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the son,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the daughter,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the mother,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the father,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the parent,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the baby,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the man,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the woman,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the brother,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the sister,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the family,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the grandfather,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the grandmother,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the husband,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the wife,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the king,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the queen,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the president,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the neighbor,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the boy,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the girl,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the child,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the adult,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the human,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the friend,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the victim,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the player,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
the fan,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the crowd,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-F
the person,Audio:<br>Google Cloud TTS<br>Voice: pt-PT-Standard-D
