key,source
alive,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
April,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
art,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
August,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
bad,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
beautiful,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
beer,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
big / large,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
black,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
blind,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
blood,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
blue,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
breakfast,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
brown,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
cheap,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
clay,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
clean,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
coffee,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
cold,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
cool,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
copper,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
curved,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
dark,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
dark blue,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
dead,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
deaf,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
death,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
December,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
deep,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
diamond,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
dinner,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
dirty,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
disease,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
down,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
dry,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
dust,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
Earth,"Picture:<br><a href=""https://pixabay.com/photos/earth-globe-planet-world-space-11015/"">https://pixabay.com/photos/earth-globe-planet-world-space-11015/</a><br><br>Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A"
eight (8),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
eighteen (18),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
eighty (80),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
eighty-one (81),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
eighty-two (82),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
eleven (11),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
energy,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
exercise,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
expensive,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
famous,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
fast,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
February,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
female,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
fifteen (15),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
fifth (5th),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
fifty (50),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
fifty-one (51),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
fifty-two (52),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
first (1st),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
five (5),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
flat,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
food,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
forty (40),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
forty-one (41),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
forty-two (42),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
four (4),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
fourteen (14),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
fourth (4th),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
Friday,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
glass,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
God,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
gold,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
good,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
gray,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
green,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
happy,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
hard,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
he,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
healthy,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
heaven,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
heavy,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
hell,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
high,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
hot,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
I,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
it,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
January,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
juice,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
July,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
June,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
left,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
"light [opposite of ""dark""]",Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
"light [opposite of ""heavy""]",Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
light blue,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
long,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
loose,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
loud,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
low,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
lunch,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
male,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
March,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
marriage,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
material,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
May,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
mean,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
medicine,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
metal,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
milk,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
Monday,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
money,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
murder,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
music,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
narrow,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
nature,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
new,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
nice,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
nine (9),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
nineteen (19),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
ninety (90),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
ninety-one (91),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
ninety-two (92),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
no,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
November,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
nuclear,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
October,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
oil,Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
"old [opposite of ""new""]",Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
"old [opposite of ""young""]",Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
one (1),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
"one billion (1,000,000,000)",Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-A
one hundred (100),Audio:<br>Google Cloud TTS<br>Voice: ru-RU-Standard-B
