key,source
alive,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
April,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
art,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
August,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
bad,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
beautiful,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
beer,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
big / large,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
black,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
blind,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
blood,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
blue,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
breakfast,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
brown,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
cheap,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
clay,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
clean,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
coffee,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
cold,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
cool,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
copper,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
curved,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
dark,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
dark blue,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
dead,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
deaf,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
death,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
December,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
deep,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
diamond,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
dinner,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
dirty,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
disease,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
down,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
dry,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
dust,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
Earth,"Picture:<br><a href=""https://pixabay.com/photos/earth-globe-planet-world-space-11015/"">https://pixabay.com/photos/earth-globe-planet-world-space-11015/</a><br><br>Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A"
eight (8),Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
eighteen (18),Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
eighty (80),Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
eighty-one (81),Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
eighty-two (82),Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
eleven (11),Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
energy,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
exercise,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
expensive,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
famous,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-B
fast,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
February,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
female,Audio:<br>Google Cloud TTS<br>Voice: sv-SE-Standard-A
